# TIC     |   RA      |   Dec     | EclipticLong | EclipticLat | Sector | Camera | Ccd | ColPix | RowPix
000000001 |  84.291208 | -79.530889 | 274.582879 | -76.937036 |  1 | 4 | 2 | 1495.478 |  371.759
000000001 |  84.291208 | -79.530889 | 274.582879 | -76.937036 |  4 | 4 | 3 |  247.905 |  835.806
000000001 |  84.291208 | -79.530889 | 274.582879 | -76.937036 |  5 | 4 | 3 | 1047.588 |  104.399
000000001 |  84.291208 | -79.530889 | 274.582879 | -76.937036 |  7 | 4 | 4 |  958.379 |   38.642
000000001 |  84.291208 | -79.530889 | 274.582879 | -76.937036 |  8 | 4 | 4 | 1778.862 |  687.624
000000001 |  84.291208 | -79.530889 | 274.582879 | -76.937036 | 11 | 4 | 1 |  431.818 |  581.522
000000001 |  84.291208 | -79.530889 | 274.582879 | -76.937036 | 12 | 3 | 4 |  795.879 |   47.109
000000001 |  84.291208 | -79.530889 | 274.582879 | -76.937036 | 13 | 3 | 3 | 1882.221 |  195.266
000000003 | 102.079875 |  -2.897833 | 103.417141 | -25.777627 |  6 | 1 | 2 | 1643.429 |  683.532
000000006 | 102.194667 |   0.672778 | 103.184262 | -22.211510 |  6 | 1 | 2 | 1636.006 | 1317.452
000000007 | 101.277250 |   0.815250 | 102.183957 | -22.149740 |  6 | 1 | 2 | 1471.429 | 1340.165
000000009 | 100.956125 |  -0.936972 | 101.994919 | -23.922629 |  6 | 1 | 2 | 1426.536 | 1032.282
000000014 | 100.765667 |  -0.703583 | 101.766555 | -23.705628 |  6 | 1 | 2 | 1391.072 | 1073.092
000000015 | 102.721125 |  -4.913583 | 104.346318 | -27.722919 |  6 | 1 | 2 | 1779.298 |  314.517
000000016 | 103.424167 |  -4.463972 | 105.080552 | -27.204573 |  6 | 1 | 2 | 1904.631 |  395.459
000000017 |  97.115917 |   6.186250 |  97.398269 | -17.071964 |  6 | 1 | 3 | 1417.543 | 1952.092
000000020 |  98.172333 |   0.031583 |  98.890194 | -23.157322 |  6 | 1 | 2 |  931.716 | 1196.282
000000021 |  97.033500 |   0.170667 |  97.645275 | -23.083640 |  6 | 1 | 2 |  733.890 | 1217.538
000000022 |  97.720417 |   0.226917 |  98.387170 | -22.989352 |  6 | 1 | 2 |  852.317 | 1229.034
000000023 | 101.052458 |   0.299139 | 101.988167 | -22.682786 |  6 | 1 | 2 | 1435.051 | 1249.451
000000026 | 101.922542 |  -2.280694 | 103.181130 | -25.177485 |  6 | 1 | 2 | 1609.830 |  794.377
000000027 | 101.922542 |  -2.280694 | 103.181130 | -25.177485 |  6 | 1 | 2 | 1609.830 |  794.377
000000033 | 100.195167 |   9.257444 | 100.360207 | -13.817371 |  6 | 1 | 3 |  903.063 | 1406.443
000000037 | 163.032417 |   0.493361 | 164.167415 |  -6.210789 |  9 | 1 | 4 | 1404.819 |   44.473
000000038 |  55.228417 |  12.572611 |  55.896802 |  -6.847106 |  5 | 1 | 4 | 1732.690 |  161.693
000000039 | 127.882958 |  11.738944 | 127.270932 |  -6.935012 |  7 | 1 | 3 |  819.483 |  182.802
000000040 | 126.553458 |  12.281944 | 125.867760 |  -6.723319 |  7 | 1 | 3 | 1067.479 |  143.201
000000055 |  76.867333 |  16.867722 |  77.367619 |  -5.999256 |  5 | 1 | 3 |   73.649 |    5.875
000000066 | 153.716042 | -46.843194 | 181.145116 | -52.164059 |  9 | 2 | 2 |  937.568 |  275.631
000000066 | 153.716042 | -46.843194 | 181.145116 | -52.164059 | 10 | 2 | 1 |  238.997 |   69.991
000000091 | 108.825000 |  14.262611 | 108.404834 |  -7.983254 |  7 | 1 | 4 | 1970.804 |  373.239
000000097 | 123.949917 |   5.836750 | 124.856338 | -13.590161 |  7 | 1 | 3 | 1289.704 | 1358.100
000000102 | 123.250750 |   4.787000 | 124.402899 | -14.770561 |  7 | 1 | 3 | 1371.792 | 1559.581
000000109 | 135.344417 |   6.097222 | 135.979699 | -10.402457 |  8 | 1 | 4 | 1726.585 |  811.802
000000110 | 128.925750 |  10.206667 | 128.656319 |  -8.163722 |  7 | 1 | 3 |  584.964 |  409.594
000000117 | 118.063333 |  12.139417 | 117.719836 |  -8.641220 |  7 | 1 | 4 |  320.739 |  486.319
000000129 | 176.739083 | -21.437000 | 185.943395 | -20.877930 | 10 | 1 | 1 |   74.265 | 1526.390
000000131 |  94.112083 | -21.453111 |  95.394743 | -44.816959 |  6 | 2 | 2 |  280.380 | 1614.632
000000133 |  88.146750 | -18.968333 |  87.622748 | -42.393949 |  6 | 2 | 1 | 1480.297 | 2006.551
000000134 | 208.857000 | -20.792306 | 214.134920 |  -8.406724 | 11 | 1 | 4 | 2048.906 |  453.273
000000140 | 316.961458 | -25.903333 | 311.730226 |  -9.008515 |  1 | 1 | 4 |  674.414 |  553.590
000000141 | 313.215458 | -24.312667 | 308.904496 |  -6.519241 |  1 | 1 | 4 | 1185.938 |  103.259
000000143 | 358.558500 | -29.987000 | 345.813775 | -26.736476 |  2 | 1 | 2 |  369.029 |  589.655
000000144 | 192.190500 | -46.386306 | 212.016808 | -37.323314 | 10 | 2 | 3 |  322.898 | 1429.076
000000144 | 192.190500 | -46.386306 | 212.016808 | -37.323314 | 11 | 2 | 4 | 1910.930 | 1450.148
000000145 | 173.958000 | -28.844000 | 187.019895 | -28.638987 | 10 | 1 | 1 |  325.710 |  148.751
000000146 | 147.406792 | -32.781500 | 164.219917 | -42.602690 |  9 | 2 | 1 | 1136.626 | 1942.266
000000147 | 198.133500 | -44.409444 | 215.390718 | -33.613305 | 11 | 2 | 4 | 1522.964 |  739.617
000000148 | 280.185000 | -57.540750 | 276.595495 | -34.332977 | 13 | 2 | 4 |  636.453 |  806.811
000000149 | 174.009000 | -28.456694 | 186.867128 | -28.272969 | 10 | 1 | 1 |  297.979 |  213.805
000000150 | 286.366500 | -49.932639 | 281.758500 | -27.157941 | 13 | 1 | 2 |   89.029 |  519.009
000000151 | 268.890000 | -60.252694 | 269.308209 | -36.814461 | 13 | 2 | 4 | 1626.867 | 1323.083
000000153 | 144.926833 | -27.414417 | 158.587889 | -38.707196 |  8 | 2 | 3 |  480.415 | 1652.904
000000153 | 144.926833 | -27.414417 | 158.587889 | -38.707196 |  9 | 2 | 4 | 1837.976 | 1685.401
000000154 | 193.552500 | -45.412278 | 212.464023 | -36.012449 | 10 | 2 | 3 |  219.641 | 1207.958
000000154 | 193.552500 | -45.412278 | 212.464023 | -36.012449 | 11 | 2 | 4 | 1886.866 | 1211.974
000000156 | 285.096000 | -53.106806 | 280.419450 | -30.210818 | 13 | 2 | 4 |  100.217 |   54.822
000000157 |   5.618708 | -58.057444 | 331.147567 | -53.049279 |  2 | 2 | 1 |  858.165 |   48.098
000000158 | 191.703000 | -23.572639 | 200.164590 | -17.034683 | 10 | 1 | 3 | 1908.851 | 1938.665
000000159 | 346.075500 | -20.728056 | 339.061030 | -13.602892 |  2 | 1 | 4 |  693.130 | 1356.301
000000160 | 294.633000 | -54.669889 | 286.629332 | -32.642453 | 13 | 2 | 3 | 1351.033 |  510.162
000000161 |   0.774500 | -61.530667 | 324.194658 | -54.006795 |  1 | 3 | 1 | 1281.639 |   54.335
000000161 |   0.774500 | -61.530667 | 324.194658 | -54.006795 |  2 | 3 | 2 | 1971.834 |  255.966
000000162 | 296.688000 | -62.434389 | 285.847643 | -40.454510 | 13 | 2 | 3 | 1541.581 | 1859.819
000000164 | 112.419292 | -28.062111 | 120.943143 | -49.122325 |  7 | 2 | 2 |  121.456 |  875.947
000000165 | 100.571250 | -28.223194 | 104.918769 | -51.117839 |  6 | 2 | 2 | 1299.885 |  411.222
000000165 | 100.571250 | -28.223194 | 104.918769 | -51.117839 |  7 | 2 | 1 |  519.247 |  338.273
000000166 | 103.517417 | -26.949611 | 108.715102 | -49.515759 |  6 | 2 | 2 | 1776.849 |  608.839
000000166 | 103.517417 | -26.949611 | 108.715102 | -49.515759 |  7 | 2 | 1 |  910.774 |  705.479
000000167 | 108.452417 | -32.562667 | 117.181579 | -54.275599 |  7 | 3 | 2 |  246.756 |   55.113
000000168 |  80.538167 | -29.029167 |  76.486306 | -52.027201 |  5 | 2 | 2 | 1133.174 |  272.811
000000168 |  80.538167 | -29.029167 |  76.486306 | -52.027201 |  6 | 2 | 1 |  361.878 |  129.657
000000169 |  84.326708 | -26.027389 |  82.164569 | -49.314146 |  5 | 2 | 2 | 1847.599 |  629.896
000000169 |  84.326708 | -26.027389 |  82.164569 | -49.314146 |  6 | 2 | 1 |  934.515 |  745.392
000000170 | 101.994292 | -20.089306 | 105.445182 | -42.889010 |  6 | 2 | 2 | 1557.898 | 1831.920
000000170 | 101.994292 | -20.089306 | 105.445182 | -42.889010 |  7 | 2 | 1 |  342.718 | 1785.501
000000171 |   6.702417 | -55.683889 | 334.401804 | -51.623705 |  1 | 2 | 2 | 2035.966 |  146.979
000000171 |   6.702417 | -55.683889 | 334.401804 | -51.623705 |  2 | 2 | 1 | 1182.306 |  364.766
000000173 | 102.847500 | -28.941389 | 108.240830 | -51.571618 |  6 | 2 | 2 | 1660.926 |  254.035
000000173 | 102.847500 | -28.941389 | 108.240830 | -51.571618 |  7 | 2 | 1 |  902.648 |  331.394
000000174 | 140.087708 | -30.730667 | 155.334177 | -43.489826 |  8 | 2 | 2 | 1123.229 | 1782.823
000000175 | 176.628000 | -32.139944 | 191.102263 | -30.523842 | 10 | 2 | 4 | 1150.624 |  146.899
