System,SNR,Eclipse Depth,Kmag,Teq,Period,Planet Mass
-,-,ppm,-,K,d,Mjup
Kepler-131b,nan,nan,10.08,nan,16.09,0.05
Kepler-048c,nan,nan,11.22,nan,9.67,0.05
Kepler-060b,nan,nan,12.52,nan,7.13,0.01
Kepler-060c,nan,nan,12.52,nan,8.92,0.01
Kepler-060d,nan,nan,12.52,nan,11.90,0.01
Kepler-061,nan,nan,12.27,nan,59.88,-1.00
Kepler-076,nan,nan,12.09,nan,1.54,2.18
Kepler-080g,nan,nan,12.25,nan,14.65,-1.00
Kepler-090i,nan,nan,12.48,nan,14.45,-1.00
Kepler-094,nan,nan,10.59,nan,2.51,0.03
Kepler-095,nan,nan,10.80,nan,11.52,0.04
Kepler-096,nan,nan,8.87,nan,16.24,0.03
Kepler-097,nan,nan,11.35,nan,2.59,0.00
Kepler-098,nan,nan,11.25,nan,1.54,0.00
Kepler-099,nan,nan,10.76,nan,4.60,0.02
Kepler-100b,nan,nan,9.77,nan,6.89,0.00
Kepler-100c,nan,nan,9.77,nan,12.82,0.02
Kepler-418,nan,nan,13.10,nan,86.68,0.00
Kepler-100d,nan,nan,9.77,nan,35.33,0.00
Kepler-102b,nan,nan,9.35,nan,5.29,0.00
Kepler-102c,nan,nan,9.35,nan,7.07,0.00
Kepler-409,nan,nan,7.77,nan,68.96,0.00
Kepler-407,nan,nan,10.91,nan,0.67,0.00
Kepler-406c,nan,nan,10.97,nan,4.62,0.00
Kepler-406b,nan,nan,10.97,nan,2.43,0.02
Kepler-307c,nan,nan,12.32,nan,13.08,0.01
Kepler-307b,nan,nan,12.32,nan,10.42,0.02
Kepler-102d,nan,nan,9.35,nan,10.31,0.01
Kepler-102e,nan,nan,9.35,nan,16.15,0.03
Kepler-102f,nan,nan,9.35,nan,27.45,0.00
Kepler-103b,nan,nan,10.87,nan,15.96,0.00
Kepler-048d,nan,nan,11.22,nan,42.90,0.00
Kepler-048b,nan,nan,11.22,nan,4.78,0.00
Kepler-105c,nan,nan,11.50,nan,7.13,0.01
Kepler-042d,nan,nan,11.46,nan,1.86,0.00
KOI-1843.03,nan,nan,11.06,nan,0.18,0.00
K2-136c,nan,nan,8.37,nan,17.31,-1.00
K2-136b,nan,nan,8.37,nan,7.97,-1.00
K2-132,nan,nan,9.54,nan,9.18,0.49
K2-105,nan,nan,10.09,nan,8.27,0.00
K2-104,nan,nan,12.01,nan,1.97,-1.00
K2-103,nan,nan,11.43,nan,21.17,-1.00
K2-102,nan,nan,10.64,nan,9.92,-1.00
K2-101,nan,nan,10.54,nan,14.68,-1.00
K2-100,nan,nan,9.18,nan,1.67,-1.00
K2-097,nan,nan,10.04,nan,8.41,0.48
K2-141c,nan,nan,8.40,nan,7.75,0.00
K2-093c,nan,nan,7.72,nan,31.70,-1.00
