Name		Bmag		Eclipse depth (ppm)		SNR		Period		Mass		logg		Eq Temp
WASP-12 b		12.11		57		0.3		1.09		1.36		2.40		3073
WASP-18 b		9.88		21		0.3		0.94		10.20		5.10		2852
KOI-13 b		10.16		14		0.2		1.76		6.51		4.45		3101
HAT-P-3 b		12.22		0		0.0		2.90		0.60		2.95		1378
XO-5 b		12.97		0		0.0		4.19		1.15		3.34		1436
WASP-1 b		11.99		0		0.0		2.52		0.92		2.34		2199
Kepler-444 f		9.67		0		0.0		9.74		0.00		1.82		880
Kepler-33 b		14.39		0		0.0		5.67		0.01		2.63		1755
WASP-29 b		12.12		0		0.0		3.92		0.24		2.31		1158
HATS-2 b		13.58		0		0.0		1.35		1.35		3.24		1874
Kepler-25 c		11.32		0		0.0		12.72		0.09		2.38		1224
Kepler-106 e		13.68		0		0.0		43.84		0.02		2.32		695
Kepler-130 d		12.16		0		0.0		87.52		0.01		2.69		577
HAT-P-12 b		12.60		0		0.0		3.21		0.21		1.78		1140
CoRoT-26 b		16.84		0		0.0		4.20		0.48		2.06		1873
WASP-67 b		12.90		0		0.0		4.61		0.42		1.71		1222
WASP-73 b		10.98		0		0.0		4.09		1.88		3.59		2118
Kepler-135 b		12.82		0		0.0		6.00		0.01		2.58		1551
WASP-72 b		11.52		1		0.0		2.22		1.41		3.58		2451
Kepler-131 b		12.22		0		0.0		16.09		0.05		3.39		934
Kepler-126 b		10.93		0		0.0		10.50		0.01		2.85		1361
HD 189733 b		8.60		0		0.0		2.22		1.14		3.13		1428
CoRoT-1 b		13.76		2		0.0		1.51		1.03		2.49		2260
CoRoT-12 b		16.34		0		0.0		2.83		0.92		2.44		1716
WASP-44 b		13.70		0		0.0		2.42		0.89		2.88		1603
WASP-41 b		12.36		0		0.0		3.05		0.94		2.86		1479
WASP-7 b		9.96		0		0.0		4.95		0.92		3.35		1660
TrES-2 b		12.03		0		0.0		2.47		1.20		3.03		1782
WASP-100 b		11.07		3		0.0		2.85		2.03		2.91		2617
Kepler-381 c		11.08		0		0.0		13.39		0.00		2.43		1330
HAT-P-44 b		13.20		0		0.0		4.30		0.35		1.78		1313
Kepler-117 b		14.93		0		0.0		18.80		0.19		2.34		1154
HD 17156 b		8.81		0		0.0		21.22		3.30		4.41		1060
GJ 3470 b		13.50		0		0.0		3.34		0.04		2.10		776
Kepler-105 c		13.59		0		0.0		7.13		0.01		2.71		1348
WASP-50 b		12.59		0		0.0		1.96		1.47		3.36		1656
Kepler-77 b		15.03		0		0.0		3.58		0.43		2.50		1485
WASP-52 b		12.90		0		0.0		1.75		0.46		1.99		1547
CoRoT-25 b		15.81		0		0.0		4.86		0.27		1.79		1572
WASP-23 b		13.56		0		0.0		2.94		0.87		3.20		1343
CoRoT-20 b		15.96		0		0.0		9.24		4.24		5.05		1134
CoRoT-8 b		16.10		0		0.0		6.21		0.22		2.85		1016
HATS-6 b		16.66		0		0.0		3.33		0.32		2.12		847
WASP-56 b		12.74		0		0.0		4.62		0.61		2.58		1429
WASP-32 b		12.10		0		0.0		2.72		3.45		4.30		1861
WASP-48 b		12.32		3		0.0		2.14		0.98		2.21		2419
Kepler-425 b		16.05		0		0.0		3.80		1.00		3.30		1275
WASP-15 b		11.37		0		0.0		3.75		0.54		2.00		1965
HAT-P-8 b		10.77		0		0.0		3.08		1.29		2.70		2108
WASP-54 b		10.98		0		0.0		3.69		0.63		1.79		2118
WASP-59 b		13.92		0		0.0		7.92		0.86		3.61		791
CoRoT-16 b		16.68		0		0.0		5.35		0.54		2.32		1422
Kepler-79 c		14.68		0		0.0		27.40		0.02		1.43		869
HATS-14 b		14.68		0		0.0		2.77		1.07		3.25		1516
Kepler-420 b		15.82		0		0.0		86.65		1.45		3.75		545
Kepler-127 d		12.07		0		0.0		48.63		0.02		2.30		800
WASP-135 b		14.25		0		0.0		1.40		1.90		3.37		2037
HATS-10 b		13.82		0		0.0		3.31		0.53		2.68		1673
WASP-4 b		13.00		0		0.0		1.34		1.22		2.87		1987
Kepler-411 c		13.70		0		0.0		7.83		0.03		2.28		941
HATS-3 b		12.46		0		0.0		3.55		1.07		2.68		1960
Kepler-412 b		14.41		1		0.0		1.72		0.94		2.63		2175
HATS-9 b		14.08		0		0.0		1.92		0.84		2.95		2161
HAT-P-35 b		13.71		0		0.0		3.65		1.05		2.74		1877
Kepler-36 b		12.66		0		0.0		13.84		0.01		3.03		1272
CoRoT-5 b		14.67		0		0.0		4.04		0.46		1.83		1710
CoRoT-2 b		13.42		0		0.0		1.74		3.28		3.68		1828
Kepler-78 b		12.87		0		0.0		0.36		0.01		2.65		2625
WASP-5 b		12.78		0		0.0		1.63		1.62		3.48		2072
WASP-94 A b		10.79		0		0.0		3.95		0.42		1.30		1789
Kepler-93 b		10.73		0		0.0		4.73		0.01		2.47		1349
WASP-66 b		12.00		0		0.0		4.09		2.31		3.44		2143
HAT-P-14 b		10.40		0		0.0		4.63		2.24		3.78		1863
Kepler-154 b		15.11		0		0.0		33.04		0.02		2.39		727
WASP-80 b		12.60		0		0.0		3.07		0.55		2.76		968
Kepler-197 b		12.42		0		0.0		5.60		0.00		2.28		1467
Kepler-102 e		12.58		0		0.0		16.15		0.03		2.92		710
WASP-39 b		12.93		0		0.0		4.06		0.28		1.52		1329
CoRoT-23 b		18.29		0		0.0		3.63		3.09		4.28		1953
K2-25 b		15.81		0		0.0		3.48		0.04		2.29		573
Kepler-197 d		12.42		0		0.0		15.68		0.01		2.55		1041
WASP-68 b		11.37		0		0.0		5.08		0.96		2.78		1767
WASP-74 b		10.34		1		0.0		2.14		0.95		2.32		2287
Kepler-42 d		17.96		0		0.0		1.87		0.00		1.40		592
Kepler-68 c		10.73		0		0.0		9.61		0.02		4.00		1230
K2-21 c		14.14		0		0.0		15.50		0.01		2.53		555
HAT-P-23 b		13.05		5		0.0		1.21		2.10		3.37		2439
TrES-5 b		14.64		0		0.0		1.48		1.78		3.45		1763
WASP-3 b		11.01		1		0.0		1.85		2.01		3.45		2367
HAT-P-56 b		11.35		0		0.0		2.79		2.18		3.27		2188
WASP-55 b		12.69		0		0.0		4.47		0.57		2.17		1510
Kepler-74 b		14.50		0		0.0		7.34		0.67		2.30		1483
Kepler-131 c		12.22		0		0.0		25.52		0.05		5.49		801
Kepler-102 f		12.58		0		0.0		27.45		0.00		2.11		595
Kepler-79 e		14.55		0		0.0		81.07		0.01		1.20		694
Kepler-20 d		13.41		0		0.0		77.61		0.02		2.32		518
Kepler-154 f		15.11		0		0.0		9.92		0.01		2.84		1107
Kepler-33 d		14.39		0		0.0		21.78		0.10		2.38		1121
Kepler-63 b		12.36		0		0.0		9.43		0.13		2.39		1030
XO-1 b		11.88		0		0.0		3.94		0.92		2.80		1436
WTS-1 b		16.63		0		0.0		3.35		4.00		3.84		1780
Kepler-132 c		12.49		0		0.0		6.41		0.01		2.62		1438
CoRoT-22 b		14.74		0		0.0		9.76		0.04		1.61		1196
