Name		Hmag		Eclipse depth (ppm)		SNR		Period		Mass		logg		Eq Temp
OGLE-TR-056		-1.00		2414		3117.6		1.21		1.41		2.45		2953
OGLE-TR-010		-1.00		1027		1326.9		3.10		0.68		1.74		2021
WASP-033		7.47		2795		73.0		1.22		2.16		2.94		3252
KELT-09		7.48		2090		54.4		1.48		2.88		2.99		4817
HD_189733		5.54		613		39.0		2.22		1.15		3.07		1417
WASP-018		8.13		1924		37.1		0.94		10.52		5.19		2868
WASP-121		9.37		3178		34.6		1.27		1.18		2.13		2804
WASP-076		8.24		1858		34.0		1.81		0.92		1.92		2595
HD_209458		6.31		639		28.5		3.52		0.71		2.23		1735
WASP-077		8.40		1491		25.4		1.36		1.76		3.39		2028
WASP-012		10.19		3273		24.4		1.09		1.47		2.31		3046
KELT-07		7.54		953		24.1		2.73		1.28		2.60		2438
WASP-019		10.48		3480		22.7		0.79		1.14		2.65		2471
MASCARA-1		7.74		944		21.8		2.15		3.70		3.71		3027
WASP-074		8.22		1111		20.6		2.14		0.95		2.27		2287
WASP-043		9.27		1778		20.3		0.81		2.03		3.85		1714
WASP-122		9.42		1856		19.7		1.71		1.28		2.35		2333
WASP-103		10.77		3318		19.0		0.93		1.47		2.60		2961
K2-031		8.87		1239		17.0		1.26		1.86		3.71		2078
HAT-P-32		9.99		2017		16.5		2.15		0.80		1.80		2143
KELT-04		8.69		1101		16.4		2.99		0.90		2.05		2169
KELT-16		10.64		2465		15.0		0.97		2.75		3.53		2917
WASP-003		9.36		1345		14.7		1.85		1.77		3.19		2372
KELT-17		8.65		953		14.5		3.08		1.31		2.64		2481
WASP-082		8.76		957		13.8		2.71		1.25		2.36		2624
WASP-014		8.62		865		13.3		2.24		7.59		4.81		2212
WASP-095		8.56		827		13.1		2.19		1.13		2.95		1923
WASP-087		9.60		1338		13.1		1.68		2.18		3.34		2749
WASP-140		9.17		1070		12.8		2.24		2.44		3.37		1577
KELT-01		9.44		1184		12.5		1.22		27.38		6.30		2882
TrES-3		10.61		2020		12.4		1.31		1.90		3.31		1949
KELT-08		9.18		1041		12.4		3.24		0.87		1.83		1994
KELT-11		6.12		250		12.2		4.74		0.17		0.84		2026
KELT-03		8.66		788		11.9		2.70		1.48		3.01		2161
WASP-111		9.00		898		11.6		2.31		1.83		3.08		2523
WASP-004		10.75		1998		11.5		1.34		1.25		2.81		1991
CoRoT-02		10.31		1623		11.5		1.74		3.57		3.73		1810
NLTT_41135		-1.00		8		11.4		2.89		33.70		6.73		548
