Name		Vmag		Eclipse depth (ppm)		SNR		Period		Mass		logg		Eq Temp
KELT-09		7.56		346		3.3		1.48		2.88		2.99		4817
WASP-033		8.18		137		1.0		1.22		2.16		2.94		3252
WASP-018		9.27		64		0.3		0.94		10.52		5.19		2868
WASP-121		10.52		90		0.2		1.27		1.18		2.13		2804
WASP-103		12.39		153		0.2		0.93		1.47		2.60		2961
WASP-012		11.69		164		0.2		1.09		1.47		2.31		3046
MASCARA-1		8.27		29		0.2		2.15		3.70		3.71		3027
WASP-087		10.74		33		0.1		1.68		2.18		3.34		2749
WASP-082		10.08		17		0.1		2.71		1.25		2.36		2624
WASP-078		11.96		53		0.1		2.17		0.86		1.61		2799
WASP-076		9.53		34		0.1		1.81		0.92		1.92		2595
WASP-019		12.31		66		0.1		0.79		1.14		2.65		2471
KELT-16		11.90		98		0.1		0.97		2.75		3.53		2917
KELT-07		8.54		9		0.1		2.73		1.28		2.60		2438
KELT-01		10.70		39		0.1		1.22		27.38		6.30		2882
XO-6		10.25		0		0.0		3.77		1.90		2.40		1875
XO-5		12.13		0		0.0		4.19		1.19		3.12		1442
XO-4		10.67		0		0.0		4.12		1.61		3.14		1953
XO-3		9.91		1		0.0		3.19		11.83		5.24		2056
XO-2		11.25		0		0.0		2.62		0.60		2.66		1606
XO-1		11.14		0		0.0		3.94		0.92		2.76		1439
WTS-2		15.90		5		0.0		1.02		1.12		2.70		1826
WTS-1		16.13		0		0.0		3.35		4.01		3.80		1773
WASP-173		11.15		8		0.0		1.39		3.69		4.15		2187
WASP-172		11.09		1		0.0		5.48		0.47		1.55		2076
WASP-168		11.85		0		0.0		4.15		0.42		1.53		1598
WASP-162		12.21		0		0.0		9.62		5.20		4.86		1085
WASP-159		12.82		2		0.0		3.84		0.55		1.97		2155
WASP-158		12.05		0		0.0		3.66		2.79		4.10		1888
WASP-157		12.91		0		0.0		3.95		0.57		2.53		1551
WASP-156		11.57		0		0.0		3.84		0.13		2.50		1153
WASP-153		12.79		2		0.0		3.33		0.39		1.39		2036
WASP-151		12.87		0		0.0		4.53		0.36		1.85		1560
WASP-145		11.50		0		0.0		1.77		0.89		3.30		1434
WASP-144		12.90		0		0.0		2.28		0.44		2.71		1437
WASP-142		12.30		13		0.0		2.05		0.84		2.19		2389
WASP-141		12.42		0		0.0		3.31		2.69		3.82		1875
WASP-140		11.13		0		0.0		2.24		2.44		3.37		1577
WASP-139		12.39		0		0.0		5.92		0.12		1.51		1092
WASP-138		11.81		0		0.0		3.63		1.22		3.24		1896
WASP-136		9.98		1		0.0		5.21		1.51		2.98		2072
WASP-135		13.28		6		0.0		1.40		1.90		3.33		2047
WASP-133		12.88		3		0.0		2.18		1.16		2.98		2112
WASP-132		12.40		0		0.0		7.13		0.41		2.60		905
WASP-131		10.08		0		0.0		5.32		0.27		1.50		1713
WASP-130		11.11		0		0.0		11.55		1.23		3.65		989
WASP-129		12.12		0		0.0		5.75		1.00		3.36		1281
WASP-127		10.16		0		0.0		4.18		0.18		0.87		1705
WASP-126		11.20		0		0.0		3.29		0.28		2.02		1769
WASP-124		12.70		0		0.0		3.37		0.60		2.27		1654
WASP-123		11.03		0		0.0		2.98		0.90		2.55		1807
WASP-122		11.00		20		0.0		1.71		1.28		2.35		2333
WASP-120		10.96		3		0.0		3.61		4.85		4.01		2231
WASP-119		12.27		1		0.0		2.50		1.23		2.74		1863
WASP-118		11.02		1		0.0		4.05		0.52		1.89		2085
WASP-117		10.15		0		0.0		10.02		0.28		1.88		1218
WASP-114		12.74		16		0.0		1.55		1.77		3.20		2412
WASP-113		11.77		0		0.0		4.54		0.47		1.78		1766
WASP-112		13.33		0		0.0		3.04		0.88		2.73		1648
WASP-111		10.26		12		0.0		2.31		1.83		3.08		2523
WASP-110		12.27		0		0.0		3.78		0.51		2.11		1360
WASP-109		11.44		1		0.0		3.32		0.91		2.38		2016
WASP-108		11.22		1		0.0		2.68		0.89		2.60		1903
WASP-107		11.59		0		0.0		5.72		0.12		1.24		876
WASP-106		11.21		0		0.0		9.29		1.93		3.70		1341
WASP-105		12.06		0		0.0		7.87		1.80		3.88		1007
WASP-104		11.79		1		0.0		1.75		1.31		3.28		1792
WASP-102		12.73		1		0.0		2.71		0.62		2.28		1962
WASP-101		10.34		0		0.0		3.59		0.50		1.83		1847
WASP-100		10.80		15		0.0		2.85		2.03		2.87		2618
WASP-099		9.48		0		0.0		5.75		2.78		4.04		1747
WASP-098		12.98		0		0.0		2.96		0.92		2.86		1393
WASP-097		10.58		1		0.0		2.07		1.32		3.24		1842
WASP-096		12.19		0		0.0		3.43		0.48		2.11		1518
WASP-095		10.09		1		0.0		2.19		1.13		2.95		1923
WASP-094		10.06		1		0.0		3.95		0.45		1.33		1920
WASP-093		10.97		7		0.0		2.73		1.47		2.66		2311
WASP-092		13.18		7		0.0		2.17		0.81		2.24		2236
WASP-091		11.99		0		0.0		2.80		1.34		3.44		1360
WASP-090		11.69		3		0.0		3.92		0.63		1.77		2192
WASP-089		13.09		0		0.0		3.36		5.90		4.91		1290
WASP-088		11.39		1		0.0		4.95		0.56		1.57		2097
WASP-086		10.66		0		0.0		5.03		0.82		3.93		1647
WASP-085		10.42		0		0.0		2.66		1.26		3.02		1596
WASP-084		10.83		0		0.0		8.52		0.69		2.88		953
WASP-083		12.87		0		0.0		4.97		0.30		1.93		1326
WASP-081		12.29		1		0.0		2.72		0.73		2.18		1935
WASP-080		11.87		0		0.0		3.07		0.56		2.66		981
WASP-079		10.04		1		0.0		3.66		0.86		2.21		2041
WASP-077		10.30		5		0.0		1.36		1.76		3.39		2028
WASP-075		11.45		2		0.0		2.48		1.08		2.75		2030
WASP-074		9.76		9		0.0		2.14		0.95		2.27		2287
WASP-073		10.48		1		0.0		4.09		1.88		3.54		2119
WASP-072		10.87		13		0.0		2.22		1.46		3.11		2619
WASP-071		10.56		8		0.0		2.90		2.24		3.26		2479
WASP-070		10.79		0		0.0		3.71		0.59		2.38		1635
WASP-069		9.87		0		0.0		3.87		0.26		1.75		1142
WASP-068		10.68		0		0.0		5.08		0.95		2.73		1769
WASP-067		12.54		0		0.0		4.61		0.41		2.13		1243
WASP-066		11.61		1		0.0		4.09		2.32		3.39		2143
WASP-065		11.90		0		0.0		2.31		1.55		3.44		1766
WASP-064		12.29		4		0.0		1.57		1.27		2.97		2012
WASP-063		11.16		0		0.0		4.38		0.38		1.53		1876
WASP-062		10.22		0		0.0		4.41		0.57		1.99		1697
WASP-061		12.50		0		0.0		3.86		2.06		3.54		1851
WASP-060		12.18		0		0.0		4.30		0.56		2.22		1760
WASP-059		13.00		0		0.0		7.92		0.86		3.57		791
WASP-058		11.66		0		0.0		5.02		0.89		2.46		1519
WASP-057		13.04		0		0.0		2.84		0.64		2.67		1593
WASP-056		12.17		0		0.0		4.17		0.57		2.47		1449
WASP-055		11.76		0		0.0		4.47		0.63		2.17		1547
WASP-054		10.42		3		0.0		3.69		0.64		1.75		2186
WASP-053		12.19		0		0.0		3.31		2.13		3.82		1252
WASP-052		12.20		0		0.0		1.75		0.43		1.92		1564
WASP-050		11.55		0		0.0		1.96		1.44		3.31		1714
WASP-049		11.36		0		0.0		2.78		0.40		1.92		1663
WASP-048		11.66		10		0.0		2.14		0.91		2.45		2327
WASP-047d		11.93		0		0.0		9.03		0.04		2.28		1162
WASP-047c		11.93		1		0.0		0.79		0.02		3.05		2624
WASP-047b		11.93		0		0.0		4.16		1.14		3.11		1508
WASP-046		12.93		3		0.0		1.43		1.91		3.54		1947
WASP-045		11.98		0		0.0		3.13		1.00		3.23		1392
