Name		Bmag		Eclipse depth (ppm)		SNR		Period		Mass		logg		Eq Temp
WASP-18 b		9.88		864		13.6		0.94		10.20		5.10		2852
HD 189733 b		8.60		294		8.33		2.22		1.14		3.13		1428
WASP-12 b		12.11		1377		7.75		1.09		1.36		2.40		3073
KELT-7 b		8.97		263		6.29		2.73		1.28		2.65		2439
HD 209458 b		8.24		180		6.03		3.52		0.69		2.27		1720
KOI-13 b		10.16		368		5.09		1.76		6.51		4.45		3101
WASP-77 A b		11.07		552		5.02		1.36		1.76		3.44		1988
WASP-74 b		10.34		387		4.93		2.14		0.95		2.32		2287
WASP-19 b		13.58		1575		4.5		0.79		1.13		2.73		2457
HAT-P-32 b		11.79		595		3.88		2.15		0.86		1.94		2124
WASP-14 b		10.21		264		3.58		2.24		7.69		4.80		2217
WASP-82 b		10.52		303		3.55		2.71		1.25		2.45		2592
WASP-3 b		11.01		366		3.42		1.85		2.01		3.45		2367
KELT-3 b		10.30		236		3.06		2.70		1.46		3.02		2167
WASP-43 b		13.40		931		2.89		0.81		1.78		3.98		1636
WASP-95 b		10.79		274		2.84		2.18		1.13		3.00		1924
HAT-P-23 b		13.05		759		2.77		1.21		2.10		3.37		2439
WASP-4 b		13.00		739		2.76		1.34		1.22		2.87		1987
HAT-P-7 b		10.90		281		2.76		2.20		1.79		3.22		2647
WASP-100 b		11.07		298		2.71		2.85		2.03		2.91		2617
TrES-3 b		13.11		755		2.68		1.31		1.91		3.32		1937
WASP-79 b		10.45		220		2.67		3.66		0.89		2.08		2096
WASP-48 b		12.32		511		2.61		2.14		0.98		2.21		2419
HAT-P-49 b		10.62		227		2.54		2.69		1.73		3.11		2531
HAT-P-8 b		10.77		242		2.53		3.08		1.29		2.70		2108
KELT-2 A b		9.23		119		2.53		4.11		1.52		3.17		2034
HAT-P-57 b		10.96		263		2.52		2.47		1.00		2.57		2614
HAT-P-41 b		11.65		341		2.38		2.69		0.80		1.99		2304
WASP-94 A b		10.79		227		2.35		3.95		0.42		1.30		1789
WASP-46 b		13.00		624		2.33		1.43		2.10		3.46		1972
WASP-54 b		10.98		239		2.27		3.69		0.63		1.79		2118
HAT-P-30 b		10.87		223		2.22		2.81		0.71		2.33		1947
HAT-P-36 b		13.08		614		2.21		1.33		1.84		3.40		2163
WASP-78 b		12.65		483		2.12		2.18		0.88		2.07		2730
HAT-P-56 b		11.35		262		2.09		2.79		2.18		3.27		2188
WASP-17 b		11.84		326		2.08		3.74		0.51		1.26		1842
WASP-97 b		11.34		255		2.05		2.07		1.32		3.29		1832
55 Cnc e		6.83		31		2.02		0.74		0.03		2.99		2329
WASP-1 b		11.99		338		2.01		2.52		0.92		2.34		2199
CoRoT-1 b		13.76		756		1.99		1.51		1.03		2.49		2260
WASP-52 b		12.90		478		1.87		1.75		0.46		1.99		1547
CoRoT-2 b		13.42		594		1.83		1.74		3.28		3.68		1828
WASP-71 b		11.35		228		1.83		2.90		2.24		3.25		2455
XO-3 b		10.31		142		1.83		3.19		13.28		5.45		2434
WASP-36 b		13.10		509		1.82		1.54		2.27		3.60		2021
WASP-101 b		10.74		169		1.8		3.59		0.50		1.88		1849
HAT-P-16 b		11.28		212		1.75		2.78		4.20		4.18		1932
HAT-P-33 b		11.66		248		1.72		3.47		0.76		1.94		2117
