Name		Hmag		Eclipse depth (ppm)		SNR		Period		Mass		logg		Eq Temp
OGLE-TR-056		-1.00		1090		1408.3		1.21		1.41		2.50		2953
OGLE-TR-010		-1.00		316		408.8		3.10		0.68		1.79		2021
WASP-033		7.47		917		24.0		1.22		2.16		2.99		3253
HD_189733		5.54		292		18.6		2.22		1.15		3.11		1417
KELT-09		7.48		651		16.9		1.48		2.88		3.04		4818
WASP-018		8.13		749		14.4		0.94		10.52		5.24		2869
WASP-121		9.37		1173		12.8		1.27		1.18		2.18		2805
WASP-076		8.24		671		12.3		1.81		0.92		1.96		2596
WASP-043		9.27		1006		11.5		0.81		2.03		3.89		1714
WASP-012		10.19		1439		10.7		1.09		1.47		2.36		3047
WASP-019		10.48		1625		10.6		0.79		1.14		2.70		2472
WASP-103		10.77		1510		8.6		0.93		1.47		2.64		2961
HD_209458		6.31		184		8.2		3.52		0.71		2.27		1736
WASP-122		9.42		734		7.8		1.71		1.28		2.39		2333
WASP-074		8.22		388		7.2		2.14		0.95		2.32		2287
KELT-07		7.54		263		6.7		2.73		1.28		2.65		2439
KELT-16		10.64		1046		6.3		0.97		2.75		3.57		2918
MASCARA-1		7.74		265		6.1		2.15		3.70		3.75		3028
WASP-140		9.17		433		5.2		2.24		2.44		3.42		1578
KELT-11		6.12		102		5.0		4.74		0.17		0.89		2026
KELT-04		8.69		338		5.0		2.99		0.90		2.09		2169
HAT-P-32		9.99		599		4.9		2.15		0.80		1.85		2143
WASP-087		9.60		482		4.7		1.68		2.18		3.38		2749
WASP-003		9.36		425		4.7		1.85		1.77		3.23		2372
KELT-01		9.44		444		4.7		1.22		27.38		6.35		2883
WASP-082		8.76		319		4.6		2.71		1.25		2.40		2625
WASP-004		10.75		755		4.4		1.34		1.25		2.86		1991
TrES-3		10.61		723		4.4		1.31		1.90		3.36		1949
WASP-095		8.56		273		4.3		2.19		1.13		3.00		1923
KELT-08		9.18		361		4.3		3.24		0.87		1.87		1995
CoRoT-02		10.31		579		4.1		1.74		3.57		3.77		1810
HAT-P-36		10.60		650		4.0		1.33		1.85		3.34		2128
HAT-P-07		9.33		351		3.9		2.21		1.87		3.04		2637
WASP-111		9.00		296		3.8		2.31		1.83		3.13		2524
WASP-052		10.09		490		3.8		1.75		0.43		1.97		1564
WASP-014		8.62		245		3.8		2.24		7.59		4.85		2212
Qatar-2		10.62		594		3.6		1.34		2.47		3.94		1529
HATS-18		12.29		1258		3.6		0.84		1.98		3.36		2444
WASP-078		11.01		687		3.5		2.17		0.86		1.66		2800
Qatar-1		10.41		524		3.5		1.42		1.29		3.25		1653
KELT-03		8.66		232		3.5		2.70		1.48		3.05		2161
HAT-P-23		10.79		617		3.5		1.21		2.07		3.58		2322
55_Cnc_e		4.01		26		3.4		0.74		0.03		3.12		2329
WASP-097		9.03		255		3.3		2.07		1.32		3.29		1842
