Name		Vmag		Eclipse depth (ppm)		SNR		Period		Mass		logg		Eq Temp
WASP-033		8.18		917		13.8		1.22		2.16		2.99		3253
KELT-09		7.56		651		13.0		1.48		2.88		3.04		4818
WASP-018		9.27		749		6.8		0.94		10.52		5.24		2869
WASP-121		10.52		1173		6.0		1.27		1.18		2.18		2805
HD_189733		7.68		292		5.5		2.22		1.15		3.11		1417
WASP-076		9.53		671		5.4		1.81		0.92		1.96		2596
WASP-012		11.69		1439		4.3		1.09		1.47		2.36		3047
MASCARA-1		8.27		265		3.8		2.15		3.70		3.75		3028
WASP-019		12.31		1625		3.6		0.79		1.14		2.70		2472
HD_209458		7.65		184		3.5		3.52		0.71		2.27		1736
WASP-103		12.39		1510		3.3		0.93		1.47		2.64		2961
KELT-07		8.54		263		3.3		2.73		1.28		2.65		2439
WASP-122		11.00		734		3.0		1.71		1.28		2.39		2333
WASP-074		9.76		388		2.8		2.14		0.95		2.32		2287
KELT-16		11.90		1046		2.8		0.97		2.75		3.57		2918
WASP-087		10.74		482		2.2		1.68		2.18		3.38		2749
WASP-043		12.37		1006		2.2		0.81		2.03		3.89		1714
HAT-P-32		11.29		599		2.2		2.15		0.80		1.85		2143
WASP-003		10.64		425		2.1		1.85		1.77		3.23		2372
KELT-01		10.70		444		2.1		1.22		27.38		6.35		2883
WASP-082		10.08		319		2.0		2.71		1.25		2.40		2625
KELT-17		9.29		213		1.9		3.08		1.31		2.68		2482
WASP-078		11.96		687		1.8		2.17		0.86		1.66		2800
WASP-014		9.75		245		1.8		2.24		7.59		4.85		2212
KELT-04		10.47		338		1.8		2.99		0.90		2.09		2169
HAT-P-07		10.46		351		1.8		2.21		1.87		3.04		2637
WASP-140		11.13		433		1.7		2.24		2.44		3.42		1578
WASP-111		10.26		296		1.7		2.31		1.83		3.13		2524
WASP-095		10.09		273		1.7		2.19		1.13		3.00		1923
KELT-11		8.03		102		1.7		4.74		0.17		0.89		2026
WASP-004		12.46		755		1.6		1.34		1.25		2.86		1991
KELT-08		10.83		361		1.6		3.24		0.87		1.87		1995
KELT-03		9.82		232		1.6		2.70		1.48		3.05		2161
TrES-3		12.50		723		1.5		1.31		1.90		3.36		1949
KELT-18		10.21		259		1.5		2.87		1.18		2.52		2477
HAT-P-36		12.26		650		1.5		1.33		1.85		3.34		2128
KELT-02		8.70		119		1.4		4.11		1.52		3.17		2038
EPIC_229426032		11.60		447		1.4		2.18		1.36		2.59		2262
WASP-100		10.80		298		1.3		2.85		2.03		2.91		2618
WASP-097		10.58		255		1.3		2.07		1.32		3.29		1842
WASP-094		10.06		213		1.3		3.95		0.45		1.38		1921
WASP-093		10.97		314		1.3		2.73		1.47		2.70		2312
WASP-054		10.42		239		1.3		3.69		0.64		1.80		2186
HATS-24		12.83		744		1.3		1.35		2.44		3.35		2469
HATS-18		14.07		1258		1.3		0.84		1.98		3.36		2444
HAT-P-49		10.21		227		1.3		2.69		1.73		3.11		2531
HAT-P-23		12.43		617		1.3		1.21		2.07		3.58		2322
WASP-085		10.42		220		1.2		2.66		1.26		3.06		1597
WASP-079		10.04		189		1.2		3.66		0.86		2.25		2042
WASP-052		12.20		490		1.2		1.75		0.43		1.97		1564
WASP-048		11.66		385		1.2		2.14		0.91		2.49		2328
Kepler-013		9.95		180		1.2		1.76		6.00		4.37		2595
HD_149026		8.16		77		1.2		2.88		0.37		2.67		2107
HAT-P-41		11.36		341		1.2		2.69		0.80		1.99		2304
HAT-P-30		10.36		223		1.2		2.81		0.71		2.33		1958
HAT-P-13		10.62		251		1.2		2.92		0.91		2.36		2052
CoRoT-02		12.57		579		1.2		1.74		3.57		3.77		1810
XO-3		9.91		165		1.1		3.19		11.83		5.28		2057
WASP-072		10.87		256		1.1		2.22		1.46		3.16		2620
WASP-071		10.56		218		1.1		2.90		2.24		3.31		2479
WASP-064		12.29		502		1.1		1.57		1.27		3.02		2012
WASP-050		11.55		333		1.1		1.96		1.44		3.36		1715
WASP-001		11.31		317		1.1		2.52		0.85		2.31		2172
HAT-P-56		10.91		262		1.1		2.79		2.18		3.27		2188
HAT-P-22		9.73		148		1.1		3.21		2.15		3.87		1524
HAT-P-08		10.30		197		1.1		3.08		1.27		2.94		2061
55_Cnc_e		5.95		26		1.1		0.74		0.03		3.12		2329
WASP-142		12.30		424		1.0		2.05		0.84		2.23		2390
WASP-036		12.70		536		1.0		1.54		2.36		3.55		2062
WASP-024		11.23		280		1.0		2.34		1.11		2.83		2108
WASP-017		11.50		309		1.0		3.73		0.48		1.20		2086
WASP-005		12.14		401		1.0		1.63		1.59		3.40		2085
CoRoT-01		13.60		816		1.0		1.51		1.03		2.41		2279
WASP-127		10.16		151		0.9		4.18		0.18		0.91		1705
WASP-114		12.74		481		0.9		1.55		1.77		3.24		2413
WASP-104		11.79		331		0.9		1.75		1.27		3.24		1796
WASP-101		10.34		169		0.9		3.59		0.50		1.88		1848
WASP-046		12.93		551		0.9		1.43		1.91		3.58		1947
WASP-035		10.95		204		0.9		3.16		0.72		2.37		1750
WASP-007		9.48		105		0.9		4.96		0.98		2.60		1820
TrES-4		11.59		277		0.9		3.55		0.49		1.33		2151
Qatar-1		12.84		524		0.9		1.42		1.29		3.25		1653
HATS-35		12.56		457		0.9		1.82		1.22		2.69		2418
HAT-P-33		11.19		249		0.9		3.48		0.76		1.94		2118
XO-6		10.25		140		0.8		3.77		1.90		2.44		1876
WASP-123		11.03		208		0.8		2.98		0.90		2.60		1808
WASP-108		11.22		228		0.8		2.68		0.89		2.64		1904
WASP-075		11.45		250		0.8		2.48		1.07		2.85		2028
WASP-069		9.87		119		0.8		3.87		0.26		1.80		1143
WASP-062		10.22		131		0.8		4.41		0.57		2.03		1698
WASP-026		11.10		205		0.8		2.77		1.02		2.88		1963
WASP-013		10.51		164		0.8		4.35		0.51		1.74		1885
TrES-2		11.41		244		0.8		2.47		1.21		3.09		1744
Qatar-2		13.49		594		0.8		1.34		2.47		3.94		1529
KELT-15		11.44		237		0.8		3.33		1.20		2.60		1951
HATS-52		13.67		668		0.8		1.37		2.24		3.42		2231
HAT-P-65		13.15		499		0.8		2.60		0.53		1.34		2296
HAT-P-16		10.80		181		0.8		2.78		4.19		4.34		1865
HAT-P-06		10.54		154		0.8		3.85		1.06		2.65		2027
HAT-P-04		11.00		195		0.8		3.06		0.68		2.29		2072
HAT-P-02		8.71		68		0.8		5.63		8.74		5.08		1801
WASP-120		10.96		179		0.7		3.61		4.85		4.06		2231
WASP-119		12.27		324		0.7		2.50		1.23		2.79		1863
WASP-109		11.44		212		0.7		3.32		0.91		2.43		2016
WASP-081		12.29		291		0.7		2.72		0.73		2.23		1936
WASP-065		11.90		241		0.7		2.31		1.55		3.48		1766
WASP-049		11.36		209		0.7		2.78		0.40		1.97		1663
WASP-016		11.31		188		0.7		3.12		0.83		2.68		1653
WASP-015		10.92		162		0.7		3.75		0.59		2.05		2047
WASP-002		11.98		258		0.7		2.15		0.88		3.01		1530
KELT-10		10.70		155		0.7		4.17		0.68		2.20		1637
HATS-23		13.90		654		0.7		2.16		1.47		2.40		1970
HATS-02		13.56		563		0.7		1.35		1.34		3.24		1873
HAT-P-01		10.40		122		0.7		4.46		0.53		2.06		1575
XO-4		10.67		125		0.6		4.12		1.61		3.18		1953
XO-2		11.25		173		0.6		2.62		0.60		2.70		1607
WASP-136		9.98		95		0.6		5.21		1.51		3.02		2073
WASP-131		10.08		88		0.6		5.32		0.27		1.55		1713
WASP-118		11.02		142		0.6		4.05		0.52		1.94		2086
WASP-092		13.18		384		0.6		2.17		0.81		2.28		2236
WASP-070		10.79		125		0.6		3.71		0.59		2.42		1636
WASP-041		11.64		180		0.6		3.05		0.98		2.90		1479
WASP-034		10.37		118		0.6		4.32		0.59		2.33		1378
WASP-032		11.56		195		0.6		2.72		3.60		4.21		1857
WASP-031		11.94		241		0.6		3.41		0.48		1.64		1836
TrES-5		13.72		520		0.6		1.48		1.79		3.48		1767
K2-034		11.45		172		0.6		3.00		1.65		3.36		1988
HATS-33		11.91		237		0.6		2.55		1.19		3.02		1700
HAT-P-40		11.34		176		0.6		4.46		0.61		1.67		2101
HAT-P-20		11.34		177		0.6		2.88		7.22		5.18		1147
HAT-P-14		10.00		86		0.6		4.63		2.27		3.68		1932
XO-1		11.14		129		0.5		3.94		0.92		2.80		1440
WTS-2		15.90		1178		0.5		1.02		1.12		2.75		1826
