Name,Vmag,Depth (Em),Depth (Rf),Noise,Albedo,Eq Temp,Mass
-,-,ppm,ppm,ppm,-,K,M_jup
WASP-033,8.18,0.3,215.9,66.4,0.90,1829,2.16
KELT-09,7.56,5.4,153.3,49.9,0.90,2709,2.88
WASP-018,9.27,0.1,176.4,109.6,0.90,1613,10.52
WASP-121,10.52,0.1,276.2,195.0,0.90,1577,1.18
HD_189733,7.68,0.0,69.0,52.7,0.90,797,1.15
WASP-076,9.53,0.0,158.0,123.6,0.90,1459,0.92
WASP-189,6.64,0.0,39.3,32.7,0.90,1766,2.13
KELT-20,7.59,0.0,52.7,50.6,0.90,1511,0.00
WASP-012,11.69,0.3,338.8,334.2,0.90,1713,1.47
MASCARA-1,8.27,0.0,62.5,69.2,0.90,1702,3.70
WASP-019,12.31,0.0,382.6,444.6,0.90,1390,1.14
HD_209458,7.65,0.0,43.4,52.0,0.90,976,0.71
KELT-07,8.54,0.0,62.0,78.3,0.90,1371,1.28
WASP-103,12.39,0.2,355.5,461.3,0.90,1665,1.47
WASP-077,10.30,0.0,130.6,176.2,0.90,1140,1.76
WASP-122,11.00,0.0,172.9,243.2,0.90,1312,1.28
KELT-16,11.90,0.1,246.3,368.1,0.90,1640,2.75
WASP-074,9.76,0.0,91.3,137.4,0.90,1286,0.95
HD_202772,8.32,0.0,46.5,70.8,0.90,1449,1.01
K2-031,10.80,0.0,119.3,221.8,0.90,1168,1.86
WASP-087,10.74,0.0,113.6,215.8,0.90,1546,2.18
KELT-04,9.98,0.0,79.6,152.1,0.90,1219,0.90
WASP-043,12.37,0.0,236.8,457.1,0.90,964,2.03
HAT-P-32,11.29,0.0,141.1,278.0,0.90,1205,0.80
KELT-01,10.70,0.0,104.7,211.8,0.90,1621,27.38
WASP-003,10.64,0.0,100.1,206.1,0.90,1334,1.77
WASP-167,10.53,0.0,93.9,195.9,0.90,1558,0.00
WASP-082,10.08,0.0,75.1,159.2,0.90,1476,1.25
WASP-173,11.15,0.0,120.3,260.6,0.90,1230,3.69
KELT-17,9.29,0.0,50.2,110.7,0.90,1395,1.31
HAT-P-07,10.46,0.0,82.7,189.7,0.90,1483,1.87
WASP-078,11.96,0.1,161.9,378.4,0.90,1574,0.86
WASP-014,9.75,0.0,57.7,136.8,0.90,1244,7.59
WASP-111,10.26,0.0,69.8,173.0,0.90,1419,1.83
WASP-095,10.09,0.0,64.5,160.0,0.90,1081,1.13
WASP-140,11.13,0.0,102.1,258.2,0.90,887,2.44
KELT-11,8.03,0.0,24.1,61.9,0.90,1139,0.17
KELT-03,9.82,0.0,54.7,141.3,0.90,1215,1.48
KELT-08,10.83,0.0,85.1,224.9,0.90,1122,0.87
WASP-004,12.46,0.0,177.9,476.4,0.90,1119,1.25
KELT-18,10.21,0.0,61.2,169.0,0.90,1393,1.18
HAT-P-36,12.26,0.0,153.2,434.5,0.90,1197,1.85
TrES-3,12.50,0.0,170.2,485.3,0.90,1096,1.90
KELT-02,8.70,0.0,28.2,84.3,0.90,1146,1.52
HAT-P-67,10.11,0.0,52.8,161.4,0.90,1292,0.00
HAT-P-57,10.47,0.0,62.2,190.5,0.90,1470,0.00
K2-237,11.60,0.0,102.2,320.6,0.90,1213,1.23
WASP-094,10.06,0.0,50.3,157.8,0.90,1080,0.45
WASP-100,10.80,0.0,70.3,221.8,0.90,1472,2.03
HAT-P-49,10.21,0.0,53.5,169.0,0.90,1423,1.73
KELT-19,9.90,0.0,46.2,146.6,0.90,1296,0.00
HATS-24,12.83,0.0,175.2,564.9,0.90,1388,2.44
HAT-P-23,12.43,0.0,145.3,469.9,0.90,1305,2.07
WASP-093,10.97,0.0,73.9,239.9,0.90,1300,1.47
WASP-054,10.42,0.0,56.5,186.2,0.90,1229,0.64
WASP-097,10.58,0.0,60.1,200.4,0.90,1036,1.32
HATS-18,14.07,0.0,296.2,1000.0,0.90,1374,1.98
HAT-P-30,10.36,0.0,52.6,181.1,0.90,1101,0.71
HAT-P-13,10.62,0.0,59.1,204.2,0.90,1154,0.91
WASP-079,10.04,0.0,44.7,156.3,0.90,1148,0.86
Kepler-013,9.95,0.0,42.5,150.0,0.90,1459,6.00
HAT-P-41,11.36,0.0,80.4,287.1,0.90,1295,0.80
WASP-085,10.42,0.0,51.9,186.2,0.90,898,1.26
HD_149026,8.16,0.0,18.3,65.8,0.90,1185,0.37
WASP-048,11.66,0.0,90.9,329.6,0.90,1309,0.91
55_Cnc_e,5.95,0.0,6.5,23.8,0.90,1329,0.03
WASP-052,12.20,0.0,115.5,422.7,0.90,879,0.43
CoRoT-02,12.57,0.0,136.3,501.2,0.90,1018,3.57
WASP-064,12.29,0.0,118.4,440.6,0.90,1131,1.27
WASP-001,11.31,0.0,74.7,280.5,0.90,1221,0.85
XO-3,9.91,0.0,39.0,147.2,0.90,1156,11.83
HAT-P-56,10.91,0.0,61.7,233.3,0.90,1230,2.18
HAT-P-08,10.30,0.0,46.5,176.2,0.90,1159,1.27
WASP-072,10.87,0.0,60.3,229.1,0.90,1473,1.46
HD_002685,9.59,0.0,33.0,127.1,0.90,1153,1.18
WASP-071,10.56,0.0,51.3,198.6,0.90,1394,2.24
WASP-050,11.55,0.0,78.4,313.3,0.90,964,1.44
KELT-21,10.48,0.0,47.4,191.4,0.90,1372,0.00
HAT-P-22,9.73,0.0,33.2,135.5,0.90,865,2.19
WASP-024,11.23,0.0,66.0,270.4,0.90,1185,1.11
CoRoT-01,13.60,0.0,192.2,805.4,0.90,1281,1.03
WASP-017,11.50,0.0,72.7,306.2,0.90,1173,0.48
WASP-036,12.70,0.0,126.3,532.1,0.90,1160,2.36
WASP-005,12.14,0.0,94.5,411.2,0.90,1172,1.59
WASP-142,12.30,0.0,99.9,442.6,0.90,1343,0.84
WASP-101,10.34,0.0,39.9,179.5,0.90,1039,0.50
HAT-P-33,11.19,0.0,58.7,265.5,0.90,1191,0.76
WASP-104,11.79,0.0,76.8,349.9,0.90,1008,1.31
WASP-046,12.93,0.0,129.9,591.6,0.90,1095,1.91
Qatar-1,12.84,0.0,123.4,567.5,0.90,929,1.29
WASP-127,10.16,0.0,35.7,165.2,0.90,959,0.18
HATS-35,12.56,0.0,107.6,498.9,0.90,1360,1.22
WASP-163,12.54,0.0,104.9,494.3,0.90,1096,1.87
WASP-135,13.28,0.0,147.1,695.0,0.90,1151,1.90
WASP-114,12.74,0.0,113.3,542.0,0.90,1357,1.77
WASP-075,11.45,0.0,62.0,299.2,0.90,1142,1.08
WASP-007,9.48,0.0,24.9,120.8,0.90,1023,0.98
TrES-4,11.59,0.0,65.2,319.2,0.90,1202,0.49
WASP-035,10.95,0.0,48.0,237.7,0.90,984,0.72
WASP-108,11.22,0.0,53.8,269.2,0.90,1070,0.89
WASP-145,11.50,0.0,61.1,306.2,0.90,807,0.89
WASP-013,10.51,0.0,38.7,194.1,0.90,1060,0.51
WASP-123,11.03,0.0,49.1,246.6,0.90,1016,0.90
TrES-2,11.41,0.0,57.5,293.8,0.90,981,1.21
HATS-67,13.65,0.0,160.0,824.1,0.90,1460,1.48
WASP-069,9.87,0.0,28.0,144.5,0.90,642,0.26
Qatar-7,13.03,0.0,119.9,619.4,0.90,1373,1.88
XO-6,10.25,0.0,33.1,172.2,0.90,1055,1.90
HAT-P-16,10.80,0.0,42.7,221.8,0.90,1048,4.19
WASP-026,11.10,0.0,48.3,254.7,0.90,1104,1.02
HAT-P-04,11.00,0.0,46.1,243.2,0.90,1165,0.68
HATS-52,13.67,0.0,157.3,831.8,0.90,1254,2.24
HAT-P-02,8.71,0.0,16.0,84.7,0.90,1013,8.74
KELT-15,11.44,0.0,55.8,297.9,0.90,1097,1.20
HAT-P-06,10.54,0.0,36.4,196.8,0.90,1140,1.06
Qatar-2,13.49,0.0,140.0,765.6,0.90,860,2.47
WASP-062,10.22,0.0,30.9,169.8,0.90,955,0.57
HAT-P-65,13.15,0.0,117.6,654.6,0.90,1291,0.53
WASP-120,10.96,0.0,42.2,238.8,0.90,1255,4.85
WASP-119,12.27,0.0,76.4,436.5,0.90,1048,1.23
KELT-10,10.70,0.0,36.5,211.8,0.90,920,0.68
WASP-049,11.36,0.0,49.2,287.1,0.90,935,0.40
HATS-02,13.56,0.0,132.5,790.7,0.90,1053,1.34
WASP-109,11.44,0.0,49.9,297.9,0.90,1134,0.91
HATS-23,13.90,0.0,154.1,924.7,0.90,1107,1.47
WASP-015,10.92,0.0,38.2,234.4,0.90,1151,0.59
WASP-164,12.63,0.0,82.3,515.2,0.90,1076,2.13
NGTS-3,14.64,0.0,207.3,1300.2,0.90,1141,2.38
WASP-002,11.98,0.0,60.7,381.9,0.90,860,0.88
WASP-016,11.31,0.0,44.3,280.5,0.90,929,0.83
HAT-P-01,10.40,0.0,28.9,184.5,0.90,885,0.53
WASP-081,12.29,0.0,68.7,440.6,0.90,1088,0.73
WASP-065,11.90,0.0,57.0,368.1,0.90,993,1.55
WASP-034,10.37,0.0,27.9,182.0,0.90,775,0.59
WASP-031,11.94,0.0,56.8,375.0,0.90,1032,0.48
HATS-33,11.91,0.0,56.0,369.8,0.90,956,1.19
XO-2,11.25,0.0,40.8,272.9,0.90,903,0.60
HATS-70,12.57,0.1,74.6,501.2,0.90,1840,12.90
NGTS-2,10.96,0.0,35.5,238.8,0.90,1095,0.67
WASP-136,9.98,0.0,22.4,152.1,0.90,1165,1.51
HAT-P-20,11.34,0.0,41.8,284.4,0.90,645,7.22
WASP-032,11.56,0.0,46.1,314.8,0.90,1044,3.60
HAT-P-40,11.34,0.0,41.6,284.4,0.90,1181,0.61
TrES-5,13.72,0.0,122.4,851.1,0.90,993,1.79
EPIC_246911830,12.69,0.0,75.8,529.7,0.90,1328,1.42
