Name,Vmag,AtmDepth,SNR,Period,Mass,logg,Eq Temp
-,-,ppm,-,days,M_jup,-,K
HD_209458,7.65,387.9,7.459,3.52,0.71,9.29,1735
WASP-127,10.16,1033.4,6.255,4.18,0.18,2.38,1705
KELT-11,8.03,330.2,5.330,4.74,0.17,2.33,2026
HD_189733,7.68,272.3,5.165,2.22,1.15,21.52,1417
WASP-069,9.87,643.6,4.453,3.87,0.26,5.77,1142
WASP-094,10.06,675.3,4.281,3.95,0.45,3.79,1920
WASP-033,8.18,256.6,3.866,1.22,2.16,18.99,3252
WASP-076,9.53,473.5,3.831,1.81,0.92,6.81,2595
HAT-P-47,10.69,748.8,3.551,4.73,0.21,2.96,1908
WASP-107,11.59,1102.5,3.454,5.72,0.12,3.45,876
WASP-017,11.50,1031.5,3.369,3.73,0.48,3.17,2085
KELT-09,7.56,166.2,3.331,1.48,2.88,19.96,4817
HAT-P-32,11.29,863.4,3.106,2.15,0.80,6.07,2143
WASP-121,10.52,593.1,3.042,1.27,1.18,8.43,2804
WASP-101,10.34,510.2,2.843,3.59,0.50,6.23,1847
WASP-131,10.08,403.5,2.534,5.32,0.27,4.50,1713
WASP-020,10.68,523.5,2.494,4.90,0.38,5.72,1501
KELT-04,9.98,376.2,2.474,2.99,0.90,7.75,2169
KELT-07,8.54,187.6,2.394,2.73,1.28,13.50,2438
WASP-039,12.10,960.3,2.379,4.05,0.28,4.26,1387
WASP-062,10.22,400.2,2.357,4.41,0.57,7.31,1697
WASP-168,11.85,839.4,2.333,4.15,0.42,4.63,1598
WASP-052,12.20,940.5,2.225,1.75,0.43,6.85,1564
HAT-P-01,10.40,409.3,2.218,4.46,0.53,7.48,1574
WASP-034,10.37,402.0,2.209,4.32,0.59,9.83,1378
TrES-4,11.59,672.5,2.107,3.55,0.49,3.62,2138
pi_Men,5.67,43.1,2.064,6.27,0.02,10.33,1388
WASP-054,10.42,380.9,2.045,3.69,0.64,5.77,2186
HAT-P-30,10.36,367.8,2.031,2.81,0.71,9.81,1957
WASP-074,9.76,278.6,2.027,2.14,0.95,9.68,2287
WASP-013,10.51,392.1,2.020,4.35,0.51,5.44,1884
WASP-031,11.94,746.5,1.991,3.41,0.48,4.94,1836
WASP-079,10.04,305.7,1.956,3.66,0.86,9.11,2041
KELT-08,10.83,435.1,1.935,3.24,0.87,6.21,1994
WASP-049,11.36,549.5,1.914,2.78,0.40,6.84,1663
Kepler-051b,14.83,2626.9,1.851,45.16,0.01,0.41,646
HAT-P-48,12.16,763.8,1.841,4.41,0.17,3.26,1618
KELT-17,9.29,203.5,1.839,3.08,1.31,13.96,2481
WASP-021,11.59,585.4,1.834,4.32,0.28,5.07,1621
WASP-166,9.36,204.2,1.787,5.44,0.10,6.37,1512
WASP-189,6.64,57.8,1.769,2.72,2.13,27.97,3141
KELT-10,10.70,370.2,1.748,4.17,0.68,8.60,1637
WASP-117,10.15,281.8,1.714,10.02,0.28,6.55,1218
HD_202772,8.32,116.9,1.651,3.31,1.01,10.24,2576
55_Cnc_e,5.95,39.2,1.647,0.74,0.03,22.18,2363
WASP-035,10.95,385.7,1.623,3.16,0.72,10.24,1750
HD_149026,8.16,106.2,1.615,2.88,0.37,13.80,2107
HD_219134b,5.57,32.0,1.605,3.09,0.01,18.09,1207
Kepler-051c,14.83,2247.4,1.584,85.31,0.01,0.49,522
HAT-P-33,11.19,407.4,1.535,3.48,0.76,6.64,2117
WASP-172,11.09,384.1,1.515,5.48,0.47,4.73,2076
WASP-007,9.48,180.8,1.497,4.96,0.98,12.87,1820
WASP-015,10.92,341.4,1.457,3.75,0.59,7.40,2046
WASP-006,12.16,593.3,1.430,3.36,0.48,7.95,1408
WASP-122,11.00,341.4,1.404,1.71,1.28,10.48,2333
HAT-P-12,12.80,779.9,1.400,3.21,0.20,5.90,1136
HAT-P-41,11.36,398.7,1.389,2.69,0.80,6.98,2303
NGTS-2,10.96,329.2,1.378,4.51,0.67,7.04,1948
HAT-P-26,11.74,470.4,1.376,4.24,0.06,4.58,1165
HD_002685,9.59,172.6,1.358,4.13,1.18,14.10,2050
WASP-139,12.39,612.0,1.327,5.92,0.12,4.53,1092
K2-232,9.90,192.0,1.310,11.17,0.41,8.67,1189
WASP-063,11.16,334.8,1.279,4.38,0.38,4.61,1876
WASP-012,11.69,424.4,1.270,1.09,1.47,10.09,3046
HAT-P-18,12.76,691.1,1.263,5.51,0.20,5.42,1000
WASP-025,11.85,448.5,1.247,3.77,0.60,9.53,1440
HAT-P-19,12.90,727.1,1.246,4.01,0.29,5.65,1200
WASP-110,12.27,534.3,1.224,3.78,0.51,8.25,1360
HATS-21,12.19,512.0,1.217,3.55,0.33,6.53,1526
WASP-085,10.42,225.6,1.212,2.66,1.26,20.39,1596
WASP-095,10.09,193.5,1.210,2.19,1.13,19.13,1923
WASP-088,11.39,348.6,1.198,4.95,0.56,4.80,2097
WASP-118,11.02,289.5,1.179,4.05,0.52,6.63,2085
HATS-43,13.59,927.6,1.157,4.39,0.26,4.65,1185
WASP-055,11.76,396.3,1.148,4.47,0.63,8.72,1547
Qatar-6,11.44,337.5,1.133,3.51,0.67,14.68,1197
HD_219134c,5.57,22.5,1.129,6.76,0.01,18.69,930
WASP-001,11.31,314.7,1.122,2.52,0.85,9.62,2172
XO-6,10.25,192.7,1.119,3.77,1.90,10.99,1875
WASP-078,11.96,422.4,1.116,2.17,0.86,5.02,2799
WASP-082,10.08,175.7,1.103,2.71,1.25,10.55,2624
WASP-070,10.79,242.8,1.100,3.71,0.59,10.79,1635
KELT-06,10.42,202.4,1.087,7.85,0.43,7.49,1561
WASP-019,12.31,481.2,1.082,0.79,1.14,14.20,2471
KELT-18,10.21,182.9,1.082,2.87,1.18,11.87,2477
WASP-080,11.87,390.2,1.075,3.07,0.56,14.33,981
WASP-126,11.20,284.1,1.065,3.29,0.28,7.53,1769
HAT-P-65,13.15,697.0,1.065,2.60,0.53,3.66,2296
HAT-P-17,10.54,208.9,1.061,10.34,0.53,12.98,927
WASP-029,11.21,282.8,1.056,3.92,0.24,10.04,1176
HAT-P-40,11.34,297.9,1.047,4.46,0.61,5.09,2100
WASP-160,13.09,666.6,1.047,3.77,0.28,5.83,1331
WASP-077,10.30,183.5,1.041,1.36,1.76,29.80,2028
WASP-109,11.44,301.2,1.011,3.32,0.91,10.83,2016
HAT-P-51,13.44,749.4,1.002,4.22,0.31,4.58,1416
XO-1,11.14,258.0,0.994,3.94,0.91,15.64,1432
WASP-067,12.54,488.4,0.988,4.61,0.41,8.45,1243
HD_001397,7.87,56.4,0.981,11.54,0.42,9.92,1460
HAT-P-11,9.47,117.1,0.974,4.89,0.09,14.30,988
HAT-P-13,10.62,198.0,0.970,2.92,0.91,10.16,2052
HAT-P-44,13.21,650.9,0.967,4.30,0.35,5.66,1314
Kepler-012,13.53,753.5,0.966,4.44,0.43,3.66,1767
WASP-096,12.19,406.5,0.966,3.43,0.48,8.26,1518
K2-237,11.60,309.7,0.966,2.18,1.23,12.38,2158
HATS-56,11.58,306.6,0.965,4.33,0.60,5.24,2268
WASP-153,12.79,532.5,0.960,3.33,0.39,4.02,2036
HAT-P-04,11.00,233.2,0.959,3.06,0.68,9.43,2072
HD_219666,9.90,139.9,0.955,6.04,0.05,7.33,1275
KELT-03,9.82,134.7,0.954,2.70,1.48,20.24,2161
K2-024c,11.28,263.5,0.952,42.34,0.05,2.68,699
WASP-113,11.77,329.7,0.951,4.54,0.47,5.93,1766
WASP-090,11.69,315.1,0.943,3.92,0.63,5.88,2192
WASP-093,10.97,226.1,0.942,2.73,1.47,14.29,2311
HAT-P-06,10.54,184.2,0.936,3.85,1.06,13.54,2027
WASP-108,11.22,250.9,0.932,2.68,0.89,13.41,1903
WASP-123,11.03,228.5,0.927,2.98,0.90,12.83,1807
Kepler-051d,14.83,1300.9,0.917,130.18,0.02,0.79,454
WASP-016,11.31,249.0,0.888,3.12,0.83,13.90,1652
HAT-P-39,12.42,412.8,0.883,3.54,0.60,6.02,2054
WASP-081,12.29,385.8,0.876,2.72,0.73,8.85,1935
WASP-137,10.89,202.1,0.874,3.91,0.68,10.47,1893
WASP-011,11.89,320.2,0.874,3.72,0.49,12.44,1180
GJ_0436,10.68,183.0,0.872,2.64,0.08,14.78,753
XO-2,11.25,234.3,0.859,2.62,0.60,14.25,1606
HD_097658,7.71,45.6,0.854,9.49,0.02,14.67,902
HATS-19,13.03,528.5,0.853,4.57,0.43,3.84,1843
