Name,Kmag,Depth (Em),Depth (Rf),Noise,Albedo,Eq Temp,Mass
-,-,ppm,ppm,ppm,-,K,M_jup
WASP-033,7.47,2795.6,0.0,38.3,0.00,3252,2.16
KELT-09,7.48,2090.9,0.0,38.5,0.00,4817,2.88
HD_189733,5.54,613.9,0.0,15.7,0.00,1417,1.15
WASP-018,8.13,1924.5,0.0,51.9,0.00,2868,10.52
KELT-20,7.42,1356.4,0.0,37.4,0.00,2687,0.00
WASP-121,9.37,3178.8,0.0,91.9,0.00,2804,1.18
WASP-076,8.24,1858.6,0.0,54.6,0.00,2595,0.92
WASP-189,6.06,647.0,0.0,20.0,0.00,3141,2.13
HD_209458,6.31,639.4,0.0,22.4,0.00,1735,0.71
WASP-077,8.40,1491.8,0.0,58.8,0.00,2028,1.76
WASP-012,10.19,3273.6,0.0,134.0,0.00,3046,1.47
KELT-07,7.54,953.9,0.0,39.5,0.00,2438,1.28
WASP-019,10.48,3480.8,0.0,153.1,0.00,2471,1.14
MASCARA-1,7.74,944.6,0.0,43.4,0.00,3027,3.70
WASP-074,8.22,1112.0,0.0,54.1,0.00,2287,0.95
WASP-043,9.27,1778.7,0.0,87.7,0.00,1714,2.03
WASP-122,9.42,1856.0,0.0,94.0,0.00,2333,1.28
WASP-103,10.77,3318.7,0.0,175.0,0.00,2961,1.47
HD_202772,7.15,569.2,0.0,33.0,0.00,2576,1.01
K2-031,8.87,1239.5,0.0,73.0,0.00,2078,1.86
HAT-P-32,9.99,2017.7,0.0,122.2,0.00,2143,0.80
KELT-04,8.69,1101.0,0.0,67.2,0.00,2169,0.90
KELT-16,10.64,2465.6,0.0,164.9,0.00,2917,2.75
WASP-003,9.36,1345.3,0.0,91.4,0.00,2372,1.77
KELT-17,8.65,953.2,0.0,65.9,0.00,2481,1.31
WASP-082,8.76,957.2,0.0,69.4,0.00,2624,1.25
WASP-014,8.62,865.4,0.0,65.0,0.00,2212,7.59
WASP-087,9.60,1338.3,0.0,102.1,0.00,2749,2.18
