Name,Kmag,AtmDepth,SNR,Period,Mass,logg,Eq Temp
-,-,ppm,-,days,M_jup,-,K
HD_189733,5.54,272.3,17.299,2.22,1.15,21.52,1417
HD_209458,6.31,387.9,17.282,3.52,0.71,9.29,1735
WASP-069,7.46,643.6,16.886,3.87,0.26,5.77,1142
WASP-107,8.64,1102.5,16.799,5.72,0.12,3.45,876
KELT-11,6.12,330.2,16.057,4.74,0.17,2.33,2026
WASP-127,8.64,1033.4,15.746,4.18,0.18,2.38,1705
GJ_1214,8.78,992.4,14.177,1.58,0.02,7.57,679
WASP-094,8.87,675.3,9.256,3.95,0.45,3.79,1920
GJ_0436,6.07,183.0,9.104,2.64,0.08,14.78,753
WASP-076,8.24,473.5,8.674,1.81,0.92,6.81,2595
HAT-P-47,9.40,748.8,8.040,4.73,0.21,2.96,1908
WASP-017,10.22,1031.5,7.592,3.73,0.48,3.17,2085
WASP-052,10.09,940.5,7.350,1.75,0.43,6.85,1564
WASP-039,10.20,960.3,7.134,4.05,0.28,4.26,1387
HAT-P-32,9.99,863.4,7.065,2.15,0.80,6.07,2143
WASP-080,8.35,390.2,6.796,3.07,0.56,14.33,981
WASP-033,7.47,256.6,6.701,1.22,2.16,18.99,3252
WASP-121,9.37,593.1,6.457,1.27,1.18,8.43,2804
WASP-101,9.07,510.2,6.378,3.59,0.50,6.23,1847
WASP-131,8.57,403.5,6.349,5.32,0.27,4.50,1713
HAT-P-12,10.11,779.9,6.038,3.21,0.20,5.90,1136
HD_219134b,3.26,32.0,5.813,3.09,0.01,18.09,1207
TRAPPIST-1b,10.30,817.3,5.798,1.51,0.00,7.93,467
WASP-034,8.79,402.0,5.717,4.32,0.59,9.83,1378
WASP-020,9.39,523.5,5.647,4.90,0.38,5.72,1501
HAT-P-01,8.86,409.3,5.636,4.46,0.53,7.48,1574
KELT-04,8.69,376.2,5.602,2.99,0.90,7.75,2169
WASP-168,10.44,839.4,5.583,4.15,0.42,4.63,1598
HAT-P-48,10.26,763.8,5.519,4.41,0.17,3.26,1618
GJ_3470,7.99,262.5,5.395,3.34,0.04,8.94,769
WASP-062,8.94,400.2,5.311,4.41,0.57,7.31,1697
KELT-08,9.18,435.1,5.171,3.24,0.87,6.21,1994
WASP-074,8.22,278.6,5.150,2.14,0.95,9.68,2287
TRAPPIST-1d,10.30,714.5,5.069,4.05,0.00,4.57,336
HAT-P-18,10.23,691.1,5.064,5.51,0.20,5.42,1000
55_Cnc_e,4.01,39.2,5.031,0.74,0.03,22.18,2363
WASP-049,9.75,549.5,5.022,2.78,0.40,6.84,1663
pi_Men,4.24,43.1,4.984,6.27,0.02,10.33,1388
Kepler-051b,13.20,2626.9,4.902,45.16,0.01,0.41,646
WASP-054,9.04,380.9,4.827,3.69,0.64,5.77,2186
WASP-021,9.98,585.4,4.812,4.32,0.28,5.07,1621
WASP-013,9.12,392.1,4.789,4.35,0.51,5.44,1884
KELT-07,7.54,187.6,4.743,2.73,1.28,13.50,2438
TrES-4,10.33,672.5,4.705,3.55,0.49,3.62,2138
HAT-P-26,9.58,470.4,4.649,4.24,0.06,4.58,1165
HAT-P-19,10.55,727.1,4.597,4.01,0.29,5.65,1200
WASP-031,10.65,746.5,4.507,3.41,0.48,4.94,1836
GJ_1132,8.32,253.5,4.475,1.63,0.01,12.69,696
HAT-P-30,9.15,367.8,4.431,2.81,0.71,9.81,1957
KELT-09,7.48,166.2,4.321,1.48,2.88,19.96,4817
Kepler-051c,13.20,2247.4,4.194,85.31,0.01,0.49,522
WASP-006,10.32,593.3,4.171,3.36,0.48,7.95,1408
WASP-166,8.03,204.2,4.121,5.44,0.10,6.37,1512
TRAPPIST-1c,10.30,578.8,4.106,2.42,0.00,9.35,399
HD_219134c,3.26,22.5,4.088,6.76,0.01,18.69,930
KELT-10,9.34,370.2,4.087,4.17,0.68,8.60,1637
WASP-029,8.78,282.8,4.041,3.92,0.24,10.04,1176
WASP-117,8.78,281.8,4.026,10.02,0.28,6.55,1218
WASP-139,10.47,612.0,4.015,5.92,0.12,4.53,1092
Qatar-6,9.23,337.5,3.919,3.51,0.67,14.68,1197
WASP-035,9.53,385.7,3.900,3.16,0.72,10.24,1750
WASP-079,9.06,305.7,3.839,3.66,0.86,9.11,2041
HAT-P-11,7.01,117.1,3.778,4.89,0.09,14.30,988
WASP-067,10.13,488.4,3.747,4.61,0.41,8.45,1243
HD_149026,6.82,106.2,3.742,2.88,0.37,13.80,2107
HATS-43,11.56,927.6,3.683,4.39,0.26,4.65,1185
HAT-P-41,9.73,398.7,3.677,2.69,0.80,6.98,2303
WASP-122,9.42,341.4,3.632,1.71,1.28,10.48,2333
WASP-063,9.39,334.8,3.611,4.38,0.38,4.61,1876
HD_202772,7.15,116.9,3.536,3.31,1.01,10.24,2576
LHS_1140c,8.82,245.5,3.442,3.78,0.01,10.80,521
WASP-011,9.42,320.2,3.407,3.72,0.49,12.44,1180
K2-135c,7.19,114.1,3.390,3.65,0.00,5.26,967
WASP-025,10.17,448.5,3.378,3.77,0.60,9.53,1440
HAT-P-17,8.54,208.9,3.333,10.34,0.53,12.98,927
WASP-160,11.06,666.6,3.333,3.77,0.28,5.83,1331
HAT-P-33,10.00,407.4,3.318,3.48,0.76,6.64,2117
WASP-085,8.73,225.6,3.298,2.66,1.26,20.39,1596
HATS-21,10.53,512.0,3.267,3.55,0.33,6.53,1526
K2-232,8.43,192.0,3.223,11.17,0.41,8.67,1189
WASP-015,9.69,341.4,3.208,3.75,0.59,7.40,2046
WASP-012,10.19,424.4,3.167,1.09,1.47,10.09,3046
WASP-110,10.70,534.3,3.153,3.78,0.51,8.25,1360
WASP-019,10.48,481.2,3.142,0.79,1.14,14.20,2471
HATS-06,11.22,674.2,3.131,3.33,0.32,7.94,858
K2-024c,9.18,263.5,3.131,42.34,0.05,2.68,699
WASP-077,8.40,183.5,3.122,1.36,1.76,29.80,2028
KELT-17,8.65,203.5,3.087,3.08,1.31,13.96,2481
WASP-007,8.40,180.8,3.076,4.96,0.98,12.87,1820
WASP-095,8.56,193.5,3.060,2.19,1.13,19.13,1923
WASP-172,10.13,384.1,2.947,5.48,0.47,4.73,2076
HAT-P-44,11.28,650.9,2.940,4.30,0.35,5.66,1314
NGTS-2,9.80,329.2,2.940,4.51,0.67,7.04,1948
