Name		Hmag		AtmDepth (ppm)		SNR		Period		Mass		logg		Eq Temp
HD 209458 b		6.37		359		18.0		3.52		0.69		2.27		1720
HD 189733 b		5.59		246		17.7		2.22		1.14		3.13		1428
WASP-69 b		7.54		601		17.6		3.87		0.26		1.80		1143
WASP-94 A b		8.92		899		13.9		3.95		0.42		1.30		1789
WASP-17 b		10.32		1387		11.3		3.74		0.51		1.26		1842
GJ 1214 b		9.09		767		11.0		1.58		0.02		2.22		666
GJ 436 b		6.32		201		10.3		2.64		0.07		2.59		772
WASP-127 b		8.74		483		8.1		4.18		1.37		2.05		1705
WASP-20 b		9.42		652		8.0		4.90		0.31		1.33		1644
WASP-39 b		10.31		914		7.5		4.06		0.28		1.52		1329
HAT-P-32 b		10.02		726		6.8		2.15		0.86		1.94		2124
WASP-101 b		9.12		476		6.7		3.59		0.50		1.88		1849
WASP-121 b		9.44		553		6.7		1.27		1.18		2.18		2805
WASP-80 b		8.51		355		6.6		3.07		0.55		2.76		968
55 Cnc e		4.26		48		6.4		0.74		0.03		2.99		2329
HAT-P-12 b		10.24		742		6.3		3.21		0.21		1.78		1140
WASP-34 b		8.84		380		6.1		4.32		0.58		2.32		1382
GJ 3470 b		8.21		279		6.0		3.34		0.04		2.10		776
WASP-62 b		9.01		378		5.6		4.41		0.56		2.02		1698
HAT-P-18 b		10.34		686		5.5		5.51		0.20		1.64		1008
WASP-74 b		8.29		259		5.4		2.14		0.95		2.32		2287
HAT-P-1 b		8.92		331		5.1		4.47		0.53		2.19		1552
KELT-7 b		7.58		175		5.0		2.73		1.28		2.65		2439
WASP-54 b		9.13		346		4.9		3.69		0.63		1.79		2118
HAT-P-26 b		9.69		447		4.9		4.23		0.06		1.56		1182
Kepler-51 b		13.22		2210		4.7		45.16		0.01		-0.83		637
WASP-31 b		10.71		692		4.7		3.41		0.48		1.66		1873
HAT-P-19 b		10.64		677		4.7		4.01		0.29		1.78		1200
WASP-79 b		9.12		330		4.7		3.66		0.89		2.08		2096
HAT-P-30 b		9.22		341		4.6		2.81		0.71		2.33		1947
