Name		Hmag		AtmDepth (ppm)		SNR		Period		Mass		logg		Eq Temp
OGLE-TR-010		-1.00		500		646.7		3.10		0.68		1.79		2021
OGLE-TR-056		-1.00		276		357.5		1.21		1.41		2.50		2953
GJ_1132		8.32		995		17.6		1.63		0.01		1.43		765
HD_209458		6.31		362		16.1		3.52		0.71		2.27		1736
HD_189733		5.54		254		16.1		2.22		1.15		3.11		1417
WASP-069		7.46		600		15.8		3.87		0.26		1.80		1143
WASP-107		8.64		1029		15.7		5.72		0.12		1.29		876
KELT-11		6.12		308		15.0		4.74		0.17		0.89		2026
WASP-127		8.64		964		14.7		4.18		0.18		0.91		1705
GJ_1214		8.78		926		13.2		1.58		0.02		2.07		679
WASP-094		8.87		630		8.6		3.95		0.45		1.38		1921
GJ_0436		6.07		170		8.5		2.64		0.08		2.74		753
TRAPPIST-1h		10.30		1169		8.3		18.77		0.00		0.48		202
WASP-076		8.24		442		8.1		1.81		0.92		1.96		2596
HAT-P-47		9.40		699		7.5		4.73		0.21		1.13		1908
TRAPPIST-1e		10.30		1041		7.4		6.10		0.00		1.14		293
WASP-017		10.22		962		7.1		3.73		0.48		1.20		2086
TRAPPIST-1f		10.30		1006		7.1		9.21		0.00		1.17		256
WASP-039		10.20		939		7.0		4.05		0.28		1.50		1344
TRAPPIST-1b		10.30		991		7.0		1.51		0.00		1.86		467
WASP-052		10.09		878		6.9		1.75		0.43		1.97		1564
HAT-P-32		9.99		806		6.6		2.15		0.80		1.85		2143
WASP-080		8.35		364		6.3		3.07		0.56		2.71		982
WASP-033		7.47		239		6.3		1.22		2.16		2.99		3253
WASP-121		9.37		553		6.0		1.27		1.18		2.18		2805
WASP-101		9.07		476		6.0		3.59		0.50		1.88		1848
WASP-131		8.57		376		5.9		5.32		0.27		1.55		1713
HD_219134b		3.26		29		5.4		3.09		0.01		2.94		1207
HAT-P-12		10.11		692		5.4		3.21		0.21		1.83		1142
WASP-034		8.79		375		5.3		4.32		0.59		2.33		1378
WASP-020		9.39		488		5.3		4.90		0.38		1.79		1501
HAT-P-01		8.86		382		5.3		4.46		0.53		2.06		1575
TRAPPIST-1g		10.30		735		5.2		12.36		0.00		1.48		232
KELT-04		8.69		351		5.2		2.99		0.90		2.09		2169
HAT-P-48		10.26		713		5.2		4.41		0.17		1.23		1619
WASP-062		8.94		373		5.0		4.41		0.57		2.03		1698
GJ_3470		7.99		245		5.0		3.34		0.04		2.24		769
55_Cnc_e		4.01		39		5.0		0.74		0.03		3.12		2329
WASP-074		8.22		260		4.8		2.14		0.95		2.32		2287
KELT-08		9.18		406		4.8		3.24		0.87		1.87		1995
WASP-049		9.75		512		4.7		2.78		0.40		1.97		1663
HAT-P-18		10.23		645		4.7		5.51		0.20		1.73		1000
Kepler-051b		13.20		2452		4.6		45.16		0.01		-0.85		646
WASP-054		9.04		355		4.5		3.69		0.64		1.80		2186
WASP-021		9.98		546		4.5		4.32		0.28		1.67		1621
WASP-013		9.12		366		4.5		4.35		0.51		1.74		1885
KELT-07		7.54		175		4.4		2.73		1.28		2.65		2439
TrES-4		10.33		617		4.3		3.55		0.49		1.33		2151
TRAPPIST-1d		10.30		610		4.3		4.05		0.00		1.66		336
HAT-P-26		9.58		439		4.3		4.24		0.06		1.57		1166
HAT-P-19		10.55		678		4.3		4.01		0.29		1.78		1201
WASP-031		10.65		696		4.2		3.41		0.48		1.64		1836
HAT-P-30		9.15		343		4.1		2.81		0.71		2.33		1958
KELT-09		7.48		155		4.0		1.48		2.88		3.04		4818
WASP-006		10.32		553		3.9		3.36		0.48		2.12		1408
Kepler-051c		13.20		2098		3.9		85.31		0.01		-0.67		523
WASP-117		8.78		263		3.8		10.02		0.28		1.92		1218
WASP-029		8.78		264		3.8		3.92		0.24		2.35		1176
KELT-10		9.34		345		3.8		4.17		0.68		2.20		1637
HD_219134c		3.26		21		3.8		6.76		0.01		2.97		930
HAT-P-11		7.01		117		3.8		4.89		0.08		2.63		997
WASP-139		10.47		571		3.7		5.92		0.12		1.56		1092
Qatar-6		9.23		315		3.7		3.51		0.67		2.73		1197
WASP-079		9.06		285		3.6		3.66		0.86		2.25		2042
WASP-035		9.53		360		3.6		3.16		0.72		2.37		1750
WASP-067		10.13		455		3.5		4.61		0.41		2.18		1244
HD_149026		6.82		99		3.5		2.88		0.37		2.67		2107
WASP-122		9.42		318		3.4		1.71		1.28		2.39		2333
WASP-063		9.39		312		3.4		4.38		0.38		1.57		1876
HATS-43		11.56		865		3.4		4.39		0.26		1.58		1185
HAT-P-41		9.73		372		3.4		2.69		0.80		1.99		2304
WASP-025		10.17		418		3.2		3.77		0.60		2.30		1441
WASP-011		9.42		298		3.2		3.72		0.49		2.57		1181
WASP-085		8.73		210		3.1		2.66		1.26		3.06		1597
HAT-P-33		10.00		380		3.1		3.48		0.76		1.94		2118
HAT-P-17		8.54		194		3.1		10.34		0.53		2.61		927
WASP-015		9.69		318		3.0		3.75		0.59		2.05		2047
WASP-012		10.19		396		3.0		1.09		1.47		2.36		3047
HATS-21		10.53		477		3.0		3.55		0.33		1.92		1526
WASP-110		10.70		498		2.9		3.78		0.51		2.16		1360
WASP-095		8.56		180		2.9		2.19		1.13		3.00		1923
WASP-019		10.48		449		2.9		0.79		1.14		2.70		2472
WASP-007		8.40		168		2.9		4.96		0.98		2.60		1820
KELT-17		8.65		190		2.9		3.08		1.31		2.68		2482
HATS-06		11.22		629		2.9		3.33		0.32		2.12		858
TRAPPIST-1c		10.30		386		2.7		2.42		0.01		2.62		399
HAT-P-51		11.61		699		2.7		4.22		0.31		1.57		1416
HAT-P-44		11.28		607		2.7		4.30		0.35		1.78		1314
WASP-126		9.60		265		2.6		3.29		0.28		2.06		1769
K2-029		10.06		331		2.6		3.26		0.73		2.59		1388
HAT-P-65		11.53		650		2.6		2.60		0.53		1.34		2296
WASP-153		11.05		497		2.5		3.33		0.39		1.44		2036
WASP-055		10.40		369		2.5		4.47		0.63		2.21		1547
WASP-042		10.03		313		2.5		4.98		0.53		2.38		1216
HD_097658		5.73		42		2.5		9.49		0.02		2.73		902
XO-2		9.31		218		2.4		2.62		0.60		2.70		1607
XO-1		9.53		235		2.4		3.94		0.92		2.80		1440
WASP-118		9.79		270		2.4		4.05		0.52		1.94		2086
WASP-082		8.76		163		2.4		2.71		1.25		2.40		2625
TrES-1		9.82		272		2.4		3.03		0.76		2.79		1365
KELT-06		9.08		188		2.4		7.85		0.43		2.06		1561
HAT-P-46		9.93		291		2.4		4.46		0.49		2.05		1727
HAT-P-13		8.97		184		2.4		2.92		0.91		2.36		2052
GJ_9827d		7.19		79		2.4		6.20		0.01		2.18		798
WASP-140		9.17		195		2.3		2.24		2.44		3.42		1578
WASP-123		9.36		213		2.3		2.98		0.90		2.60		1808
