Name		Vmag		AtmDepth (ppm)		SNR		Period		Mass		logg		Eq Temp
HD_209458		7.65		362		7.0		3.52		0.71		2.27		1736
WASP-127		10.16		964		5.8		4.18		0.18		0.91		1705
KELT-11		8.03		308		5.0		4.74		0.17		0.89		2026
HD_189733		7.68		254		4.8		2.22		1.15		3.11		1417
WASP-069		9.87		600		4.2		3.87		0.26		1.80		1143
WASP-094		10.06		630		4.0		3.95		0.45		1.38		1921
WASP-076		9.53		442		3.6		1.81		0.92		1.96		2596
WASP-033		8.18		239		3.6		1.22		2.16		2.99		3253
HAT-P-47		10.69		699		3.3		4.73		0.21		1.13		1908
WASP-107		11.59		1029		3.2		5.72		0.12		1.29		876
WASP-017		11.50		962		3.1		3.73		0.48		1.20		2086
KELT-09		7.56		155		3.1		1.48		2.88		3.04		4818
HAT-P-32		11.29		806		2.9		2.15		0.80		1.85		2143
WASP-121		10.52		553		2.8		1.27		1.18		2.18		2805
WASP-101		10.34		476		2.7		3.59		0.50		1.88		1848
WASP-131		10.08		376		2.4		5.32		0.27		1.55		1713
WASP-039		12.10		939		2.3		4.05		0.28		1.50		1344
WASP-020		10.68		488		2.3		4.90		0.38		1.79		1501
WASP-062		10.22		373		2.2		4.41		0.57		2.03		1698
KELT-07		8.54		175		2.2		2.73		1.28		2.65		2439
WASP-052		12.20		878		2.1		1.75		0.43		1.97		1564
WASP-034		10.37		375		2.1		4.32		0.59		2.33		1378
HAT-P-01		10.40		382		2.1		4.46		0.53		2.06		1575
WASP-074		9.76		260		1.9		2.14		0.95		2.32		2287
WASP-054		10.42		355		1.9		3.69		0.64		1.80		2186
WASP-031		11.94		696		1.9		3.41		0.48		1.64		1836
WASP-013		10.51		366		1.9		4.35		0.51		1.74		1885
TrES-4		11.59		617		1.9		3.55		0.49		1.33		2151
HAT-P-30		10.36		343		1.9		2.81		0.71		2.33		1958
WASP-079		10.04		285		1.8		3.66		0.86		2.25		2042
WASP-049		11.36		512		1.8		2.78		0.40		1.97		1663
KELT-08		10.83		406		1.8		3.24		0.87		1.87		1995
KELT-04		10.47		351		1.8		2.99		0.90		2.09		2169
WASP-021		11.59		546		1.7		4.32		0.28		1.67		1621
Kepler-051b		14.83		2452		1.7		45.16		0.01		-0.85		646
KELT-17		9.29		190		1.7		3.08		1.31		2.68		2482
HAT-P-48		12.16		713		1.7		4.41		0.17		1.23		1619
WASP-117		10.15		263		1.6		10.02		0.28		1.92		1218
KELT-10		10.70		345		1.6		4.17		0.68		2.20		1637
55_Cnc_e		5.95		39		1.6		0.74		0.03		3.12		2329
WASP-035		10.95		360		1.5		3.16		0.72		2.37		1750
Kepler-051c		14.83		2098		1.5		85.31		0.01		-0.67		523
HD_219134b		5.57		29		1.5		3.09		0.01		2.94		1207
HD_149026		8.16		99		1.5		2.88		0.37		2.67		2107
WASP-015		10.92		318		1.4		3.75		0.59		2.05		2047
WASP-007		9.48		168		1.4		4.96		0.98		2.60		1820
HAT-P-33		11.19		380		1.4		3.48		0.76		1.94		2118
WASP-122		11.00		318		1.3		1.71		1.28		2.39		2333
WASP-006		12.16		553		1.3		3.36		0.48		2.12		1408
HAT-P-41		11.36		372		1.3		2.69		0.80		1.99		2304
HAT-P-26		11.74		439		1.3		4.24		0.06		1.57		1166
GJ_1132		13.49		995		1.3		1.63		0.01		1.43		765
WASP-139		12.39		571		1.2		5.92		0.12		1.56		1092
WASP-063		11.16		312		1.2		4.38		0.38		1.57		1876
WASP-025		11.85		418		1.2		3.77		0.60		2.30		1441
WASP-012		11.69		396		1.2		1.09		1.47		2.36		3047
HAT-P-19		12.90		678		1.2		4.01		0.29		1.78		1201
HAT-P-18		12.76		645		1.2		5.51		0.20		1.73		1000
HAT-P-12		12.80		692		1.2		3.21		0.21		1.83		1142
WASP-118		11.02		270		1.1		4.05		0.52		1.94		2086
WASP-110		12.27		498		1.1		3.78		0.51		2.16		1360
WASP-095		10.09		180		1.1		2.19		1.13		3.00		1923
WASP-088		11.39		325		1.1		4.95		0.56		1.61		2097
WASP-085		10.42		210		1.1		2.66		1.26		3.06		1597
WASP-055		11.76		369		1.1		4.47		0.63		2.21		1547
Qatar-6		11.44		315		1.1		3.51		0.67		2.73		1197
HD_219134c		5.57		21		1.1		6.76		0.01		2.97		930
HATS-43		13.59		865		1.1		4.39		0.26		1.58		1185
HATS-21		12.19		477		1.1		3.55		0.33		1.92		1526
XO-6		10.25		179		1.0		3.77		1.90		2.44		1876
WASP-126		11.20		265		1.0		3.29		0.28		2.06		1769
WASP-082		10.08		163		1.0		2.71		1.25		2.40		2625
WASP-080		11.87		364		1.0		3.07		0.56		2.71		982
WASP-078		11.96		394		1.0		2.17		0.86		1.66		2800
WASP-070		10.79		226		1.0		3.71		0.59		2.42		1636
WASP-029		11.21		264		1.0		3.92		0.24		2.35		1176
WASP-019		12.31		449		1.0		0.79		1.14		2.70		2472
WASP-001		11.31		293		1.0		2.52		0.85		2.31		2172
